'worldPose: x: -4.712248,y: -0.183885,theta: 0.070873, gridPosition: x: 0, y: 0'
'worldPose: x: -4.739201,y: -0.190733,theta: 0.071730, gridPosition: x: 0, y: 0'
'worldPose: x: -4.739201,y: -0.190733,theta: 0.071730, gridPosition: x: 0, y: 0'
'worldPose: x: -4.720288,y: -0.184935,theta: 0.071092, gridPosition: x: 0, y: 0'
'worldPose: x: -4.720288,y: -0.184935,theta: 0.071092, gridPosition: x: 0, y: 0'
'worldPose: x: -4.720288,y: -0.184935,theta: 0.071092, gridPosition: x: 0, y: 0'
'worldPose: x: -4.720064,y: -0.194343,theta: 0.071133, gridPosition: x: 0, y: 0'
'worldPose: x: -4.720064,y: -0.194343,theta: 0.071133, gridPosition: x: 0, y: 0'
'worldPose: x: -4.720064,y: -0.194343,theta: 0.071133, gridPosition: x: 0, y: 0'
'worldPose: x: -4.740068,y: -0.192370,theta: 0.072006, gridPosition: x: 0, y: 0'
'worldPose: x: -4.740068,y: -0.192370,theta: 0.072006, gridPosition: x: 0, y: 0'
'worldPose: x: -4.714465,y: -0.204275,theta: 0.070319, gridPosition: x: 0, y: 0'
'worldPose: x: -4.714465,y: -0.204275,theta: 0.070319, gridPosition: x: 0, y: 0'
'worldPose: x: -4.714465,y: -0.204275,theta: 0.070319, gridPosition: x: 0, y: 0'
'worldPose: x: -4.730813,y: -0.193638,theta: 0.071674, gridPosition: x: 0, y: 0'
'worldPose: x: -4.714988,y: -0.205894,theta: 0.071326, gridPosition: x: 0, y: 0'
'worldPose: x: -4.714988,y: -0.205894,theta: 0.071326, gridPosition: x: 0, y: 0'
'worldPose: x: -4.734766,y: -0.181249,theta: 0.071610, gridPosition: x: 0, y: 0'
'worldPose: x: -4.734766,y: -0.181249,theta: 0.071610, gridPosition: x: 0, y: 0'
'worldPose: x: -4.719848,y: -0.198190,theta: 0.071435, gridPosition: x: 0, y: 0'
'worldPose: x: -4.719848,y: -0.198190,theta: 0.071435, gridPosition: x: 0, y: 0'
'worldPose: x: -4.731617,y: -0.181476,theta: 0.071659, gridPosition: x: 0, y: 0'
'worldPose: x: -4.731617,y: -0.181476,theta: 0.071659, gridPosition: x: 0, y: 0'
'worldPose: x: -4.725098,y: -0.196818,theta: 0.071645, gridPosition: x: 0, y: 0'
'worldPose: x: -4.725098,y: -0.196818,theta: 0.071645, gridPosition: x: 0, y: 0'
'worldPose: x: -4.731194,y: -0.188709,theta: 0.071737, gridPosition: x: 0, y: 0'
'worldPose: x: -4.731194,y: -0.188709,theta: 0.071737, gridPosition: x: 0, y: 0'
'worldPose: x: -4.727266,y: -0.199442,theta: 0.071498, gridPosition: x: 0, y: 0'
'worldPose: x: -4.731045,y: -0.192063,theta: 0.071753, gridPosition: x: 0, y: 0'
'worldPose: x: -4.731045,y: -0.192063,theta: 0.071753, gridPosition: x: 0, y: 0'
'worldPose: x: -4.731045,y: -0.192063,theta: 0.071753, gridPosition: x: 0, y: 0'
'worldPose: x: -4.730591,y: -0.205426,theta: 0.071825, gridPosition: x: 0, y: 0'
'worldPose: x: -4.735908,y: -0.192879,theta: 0.071696, gridPosition: x: 0, y: 0'
'worldPose: x: -4.735908,y: -0.192879,theta: 0.071696, gridPosition: x: 0, y: 0'
'worldPose: x: -4.735908,y: -0.192879,theta: 0.071696, gridPosition: x: 0, y: 0'
'worldPose: x: -4.728500,y: -0.205623,theta: 0.071971, gridPosition: x: 0, y: 0'
'worldPose: x: -4.728500,y: -0.205623,theta: 0.071971, gridPosition: x: 0, y: 0'
'worldPose: x: -4.733856,y: -0.190914,theta: 0.071321, gridPosition: x: 0, y: 0'
'worldPose: x: -4.733856,y: -0.190914,theta: 0.071321, gridPosition: x: 0, y: 0'
'worldPose: x: -4.732607,y: -0.201280,theta: 0.072083, gridPosition: x: 0, y: 0'
'worldPose: x: -4.733350,y: -0.196340,theta: 0.071618, gridPosition: x: 0, y: 0'
'worldPose: x: -4.733350,y: -0.196340,theta: 0.071618, gridPosition: x: 0, y: 0'
'worldPose: x: -4.733350,y: -0.196340,theta: 0.071618, gridPosition: x: 0, y: 0'
'worldPose: x: -4.730662,y: -0.200292,theta: 0.071870, gridPosition: x: 0, y: 0'
'worldPose: x: -4.730662,y: -0.200292,theta: 0.071870, gridPosition: x: 0, y: 0'
'worldPose: x: -4.737369,y: -0.187805,theta: 0.071555, gridPosition: x: 0, y: 0'
'worldPose: x: -4.737369,y: -0.187805,theta: 0.071555, gridPosition: x: 0, y: 0'
'worldPose: x: -4.726159,y: -0.199299,theta: 0.071421, gridPosition: x: 0, y: 0'
'worldPose: x: -4.726159,y: -0.199299,theta: 0.071421, gridPosition: x: 0, y: 0'
'worldPose: x: -4.736512,y: -0.185390,theta: 0.071640, gridPosition: x: 0, y: 0'
'worldPose: x: -4.736512,y: -0.185390,theta: 0.071640, gridPosition: x: 0, y: 0'
'worldPose: x: -4.721200,y: -0.203186,theta: 0.071372, gridPosition: x: 0, y: 0'
'worldPose: x: -4.721200,y: -0.203186,theta: 0.071372, gridPosition: x: 0, y: 0'
