'worldPose: x: 7.696035,y: -5.771253,theta: -2.647174, gridPosition: x: 0, y: 0'
'worldPose: x: 7.699814,y: -5.793319,theta: -2.652708, gridPosition: x: 0, y: 0'
'worldPose: x: 7.699814,y: -5.793319,theta: -2.652691, gridPosition: x: 0, y: 0'
'worldPose: x: 7.690896,y: -5.785149,theta: -2.647825, gridPosition: x: 0, y: 0'
'worldPose: x: 7.690896,y: -5.785149,theta: -2.647792, gridPosition: x: 0, y: 0'
'worldPose: x: 7.677868,y: -5.788836,theta: -2.648986, gridPosition: x: 0, y: 0'
'worldPose: x: 7.677868,y: -5.788836,theta: -2.648985, gridPosition: x: 0, y: 0'
'worldPose: x: 7.680950,y: -5.787576,theta: -2.648206, gridPosition: x: 0, y: 0'
'worldPose: x: 7.680950,y: -5.787576,theta: -2.648202, gridPosition: x: 0, y: 0'
'worldPose: x: 7.676098,y: -5.790396,theta: -2.650356, gridPosition: x: 0, y: 0'
'worldPose: x: 7.676098,y: -5.790396,theta: -2.650320, gridPosition: x: 0, y: 0'
'worldPose: x: 7.673449,y: -5.797090,theta: -2.654768, gridPosition: x: 0, y: 0'
'worldPose: x: 7.673449,y: -5.797090,theta: -2.654795, gridPosition: x: 0, y: 0'
'worldPose: x: 7.693566,y: -5.794592,theta: -2.654115, gridPosition: x: 0, y: 0'
'worldPose: x: 7.693566,y: -5.794592,theta: -2.654101, gridPosition: x: 0, y: 0'
'worldPose: x: 7.685799,y: -5.789171,theta: -2.653322, gridPosition: x: 0, y: 0'
'worldPose: x: 7.685799,y: -5.789171,theta: -2.653294, gridPosition: x: 0, y: 0'
'worldPose: x: 7.691048,y: -5.780703,theta: -2.650347, gridPosition: x: 0, y: 0'
'worldPose: x: 7.691048,y: -5.780703,theta: -2.650344, gridPosition: x: 0, y: 0'
'worldPose: x: 7.691724,y: -5.774633,theta: -2.652672, gridPosition: x: 0, y: 0'
'worldPose: x: 7.691724,y: -5.774633,theta: -2.652660, gridPosition: x: 0, y: 0'
'worldPose: x: 7.678926,y: -5.779154,theta: -2.651872, gridPosition: x: 0, y: 0'
'worldPose: x: 7.678926,y: -5.779154,theta: -2.651881, gridPosition: x: 0, y: 0'
'worldPose: x: 7.673247,y: -5.782913,theta: -2.649101, gridPosition: x: 0, y: 0'
'worldPose: x: 7.673247,y: -5.782913,theta: -2.649100, gridPosition: x: 0, y: 0'
'worldPose: x: 7.675640,y: -5.775343,theta: -2.645796, gridPosition: x: 0, y: 0'
'worldPose: x: 7.675640,y: -5.775343,theta: -2.645800, gridPosition: x: 0, y: 0'
'worldPose: x: 7.680930,y: -5.775381,theta: -2.648503, gridPosition: x: 0, y: 0'
'worldPose: x: 7.680930,y: -5.775381,theta: -2.648491, gridPosition: x: 0, y: 0'
'worldPose: x: 7.690773,y: -5.773614,theta: -2.648332, gridPosition: x: 0, y: 0'
'worldPose: x: 7.690773,y: -5.773614,theta: -2.648321, gridPosition: x: 0, y: 0'
'worldPose: x: 7.685345,y: -5.772691,theta: -2.649742, gridPosition: x: 0, y: 0'
'worldPose: x: 7.685345,y: -5.772691,theta: -2.649749, gridPosition: x: 0, y: 0'
'worldPose: x: 7.684407,y: -5.775208,theta: -2.648996, gridPosition: x: 0, y: 0'
'worldPose: x: 7.684407,y: -5.775208,theta: -2.648993, gridPosition: x: 0, y: 0'
'worldPose: x: 7.682759,y: -5.783082,theta: -2.652853, gridPosition: x: 0, y: 0'
'worldPose: x: 7.682759,y: -5.783082,theta: -2.652855, gridPosition: x: 0, y: 0'
'worldPose: x: 7.682531,y: -5.778641,theta: -2.649591, gridPosition: x: 0, y: 0'
'worldPose: x: 7.682531,y: -5.778641,theta: -2.649591, gridPosition: x: 0, y: 0'
'worldPose: x: 7.693451,y: -5.779310,theta: -2.651037, gridPosition: x: 0, y: 0'
'worldPose: x: 7.693451,y: -5.779310,theta: -2.651015, gridPosition: x: 0, y: 0'
'worldPose: x: 7.695064,y: -5.783819,theta: -2.650696, gridPosition: x: 0, y: 0'
'worldPose: x: 7.695064,y: -5.783819,theta: -2.650696, gridPosition: x: 0, y: 0'
'worldPose: x: 7.724864,y: -5.804538,theta: -2.659133, gridPosition: x: 0, y: 0'
'worldPose: x: 7.724864,y: -5.804538,theta: -2.659125, gridPosition: x: 0, y: 0'
'worldPose: x: 7.705628,y: -5.810805,theta: -2.657753, gridPosition: x: 0, y: 0'
'worldPose: x: 7.705628,y: -5.810805,theta: -2.657749, gridPosition: x: 0, y: 0'
'worldPose: x: 7.703510,y: -5.811559,theta: -2.654470, gridPosition: x: 0, y: 0'
'worldPose: x: 7.703510,y: -5.811559,theta: -2.654455, gridPosition: x: 0, y: 0'
'worldPose: x: 7.695138,y: -5.814647,theta: -2.650950, gridPosition: x: 0, y: 0'
'worldPose: x: 7.695138,y: -5.814647,theta: -2.650922, gridPosition: x: 0, y: 0'
'worldPose: x: 7.685641,y: -5.812616,theta: -2.650506, gridPosition: x: 0, y: 0'
'worldPose: x: 7.685641,y: -5.812616,theta: -2.650484, gridPosition: x: 0, y: 0'
'worldPose: x: 7.687482,y: -5.804773,theta: -2.650031, gridPosition: x: 0, y: 0'
'worldPose: x: 7.687482,y: -5.804773,theta: -2.650053, gridPosition: x: 0, y: 0'
'worldPose: x: 7.689916,y: -5.797185,theta: -2.644774, gridPosition: x: 0, y: 0'
'worldPose: x: 7.689916,y: -5.797185,theta: -2.644771, gridPosition: x: 0, y: 0'
'worldPose: x: 7.681245,y: -5.804249,theta: -2.648581, gridPosition: x: 0, y: 0'
'worldPose: x: 7.681245,y: -5.804249,theta: -2.648574, gridPosition: x: 0, y: 0'
'worldPose: x: 7.670084,y: -5.823308,theta: -2.653007, gridPosition: x: 0, y: 0'
'worldPose: x: 7.670084,y: -5.823308,theta: -2.652998, gridPosition: x: 0, y: 0'
'worldPose: x: 7.689745,y: -5.821536,theta: -2.647742, gridPosition: x: 0, y: 0'
'worldPose: x: 7.689745,y: -5.821536,theta: -2.647718, gridPosition: x: 0, y: 0'
'worldPose: x: 7.686430,y: -5.839031,theta: -2.647502, gridPosition: x: 0, y: 0'
'worldPose: x: 7.686430,y: -5.839031,theta: -2.647494, gridPosition: x: 0, y: 0'
'worldPose: x: 7.680328,y: -5.844980,theta: -2.644131, gridPosition: x: 0, y: 0'
'worldPose: x: 7.680328,y: -5.844980,theta: -2.644131, gridPosition: x: 0, y: 0'
'worldPose: x: 7.682483,y: -5.868517,theta: -2.647859, gridPosition: x: 0, y: 0'
'worldPose: x: 7.682483,y: -5.868517,theta: -2.647857, gridPosition: x: 0, y: 0'
'worldPose: x: 7.664994,y: -5.873280,theta: -2.650305, gridPosition: x: 0, y: 0'
'worldPose: x: 7.664994,y: -5.873280,theta: -2.650301, gridPosition: x: 0, y: 0'
'worldPose: x: 7.666547,y: -5.882179,theta: -2.646352, gridPosition: x: 0, y: 0'
'worldPose: x: 7.666547,y: -5.882179,theta: -2.646361, gridPosition: x: 0, y: 0'
'worldPose: x: 7.666465,y: -5.896361,theta: -2.646732, gridPosition: x: 0, y: 0'
'worldPose: x: 7.666465,y: -5.896361,theta: -2.646708, gridPosition: x: 0, y: 0'
'worldPose: x: 7.684780,y: -5.866880,theta: -2.654914, gridPosition: x: 0, y: 0'
'worldPose: x: 7.684780,y: -5.866880,theta: -2.654902, gridPosition: x: 0, y: 0'
'worldPose: x: 7.678352,y: -5.864382,theta: -2.652252, gridPosition: x: 0, y: 0'
'worldPose: x: 7.678352,y: -5.864382,theta: -2.652251, gridPosition: x: 0, y: 0'
