'worldPose: x: -1.852024,y: 281.326796,theta: -1.628577, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852315,y: 281.327004,theta: -1.628668, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852315,y: 281.327004,theta: -1.628668, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851927,y: 281.326347,theta: -1.628727, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851927,y: 281.326347,theta: -1.628727, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851927,y: 281.326347,theta: -1.628727, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852182,y: 281.326346,theta: -1.628716, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852182,y: 281.326346,theta: -1.628716, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852140,y: 281.326556,theta: -1.628711, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852140,y: 281.326556,theta: -1.628711, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852140,y: 281.326556,theta: -1.628711, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852372,y: 281.326323,theta: -1.628745, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852372,y: 281.326323,theta: -1.628745, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852062,y: 281.327004,theta: -1.628781, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852062,y: 281.327004,theta: -1.628781, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852062,y: 281.327004,theta: -1.628781, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852137,y: 281.325856,theta: -1.628764, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852137,y: 281.325856,theta: -1.628764, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852028,y: 281.326118,theta: -1.628735, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852028,y: 281.326118,theta: -1.628735, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852028,y: 281.326118,theta: -1.628735, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852284,y: 281.326309,theta: -1.628646, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852284,y: 281.326309,theta: -1.628646, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851999,y: 281.326461,theta: -1.628659, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851999,y: 281.326461,theta: -1.628659, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851999,y: 281.326461,theta: -1.628659, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852011,y: 281.326573,theta: -1.628568, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852011,y: 281.326573,theta: -1.628568, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852077,y: 281.326512,theta: -1.628603, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852077,y: 281.326512,theta: -1.628603, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852077,y: 281.326512,theta: -1.628603, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851915,y: 281.325838,theta: -1.628709, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851915,y: 281.325838,theta: -1.628709, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852210,y: 281.325376,theta: -1.628778, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852210,y: 281.325376,theta: -1.628778, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852210,y: 281.325376,theta: -1.628778, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852259,y: 281.326527,theta: -1.628648, gridPosition: x: 0, y: 0'
'worldPose: x: -1.852259,y: 281.326527,theta: -1.628648, gridPosition: x: 0, y: 0'
