'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214564,y: 20.099589,theta: 1.493243, gridPosition: x: 0, y: 0'
