'worldPose: x: -2.108524,y: 290.330423,theta: -1.656187, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108524,y: 290.330423,theta: -1.656187, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108946,y: 290.330518,theta: -1.656199, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108946,y: 290.330518,theta: -1.656199, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108524,y: 290.330512,theta: -1.656114, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108524,y: 290.330512,theta: -1.656114, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108524,y: 290.330512,theta: -1.656114, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109393,y: 290.330256,theta: -1.656310, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109393,y: 290.330256,theta: -1.656310, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109393,y: 290.330256,theta: -1.656310, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108674,y: 290.330017,theta: -1.656276, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108674,y: 290.330017,theta: -1.656276, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108676,y: 290.330001,theta: -1.656209, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108676,y: 290.330001,theta: -1.656209, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108999,y: 290.330577,theta: -1.656313, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108999,y: 290.330577,theta: -1.656313, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108999,y: 290.330577,theta: -1.656313, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108855,y: 290.330293,theta: -1.656227, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108855,y: 290.330293,theta: -1.656227, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108855,y: 290.330293,theta: -1.656227, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108927,y: 290.330050,theta: -1.656192, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108927,y: 290.330050,theta: -1.656192, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109050,y: 290.329954,theta: -1.656146, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109050,y: 290.329954,theta: -1.656146, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108869,y: 290.329704,theta: -1.656170, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108869,y: 290.329704,theta: -1.656170, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108869,y: 290.329704,theta: -1.656170, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108833,y: 290.330014,theta: -1.656155, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108833,y: 290.330014,theta: -1.656155, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108392,y: 290.330191,theta: -1.656160, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108392,y: 290.330191,theta: -1.656160, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108392,y: 290.330191,theta: -1.656160, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109134,y: 290.330019,theta: -1.656250, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109134,y: 290.330019,theta: -1.656250, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109005,y: 290.330391,theta: -1.656260, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109005,y: 290.330391,theta: -1.656260, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109005,y: 290.330391,theta: -1.656260, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108584,y: 290.330284,theta: -1.656171, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108584,y: 290.330284,theta: -1.656171, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109092,y: 290.330025,theta: -1.656197, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109092,y: 290.330025,theta: -1.656197, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109092,y: 290.330025,theta: -1.656197, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108859,y: 290.330274,theta: -1.656218, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108859,y: 290.330274,theta: -1.656218, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108859,y: 290.330274,theta: -1.656218, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108937,y: 290.329795,theta: -1.656236, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108937,y: 290.329795,theta: -1.656236, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109118,y: 290.330281,theta: -1.656217, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109118,y: 290.330281,theta: -1.656217, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108858,y: 290.329855,theta: -1.656283, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108858,y: 290.329855,theta: -1.656283, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108858,y: 290.329855,theta: -1.656283, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109098,y: 290.328341,theta: -1.656374, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109098,y: 290.328341,theta: -1.656374, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109305,y: 290.323174,theta: -1.656508, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109305,y: 290.323174,theta: -1.656508, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109305,y: 290.323174,theta: -1.656508, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109589,y: 290.312807,theta: -1.656448, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109589,y: 290.312807,theta: -1.656448, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111062,y: 290.295635,theta: -1.656652, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111062,y: 290.295635,theta: -1.656652, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111062,y: 290.295635,theta: -1.656652, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111644,y: 290.273802,theta: -1.657379, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111644,y: 290.273802,theta: -1.657379, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111644,y: 290.273802,theta: -1.657379, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108449,y: 290.298244,theta: -1.657371, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108449,y: 290.298244,theta: -1.657371, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108732,y: 290.274743,theta: -1.656869, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108732,y: 290.274743,theta: -1.656869, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110167,y: 290.250869,theta: -1.656437, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110167,y: 290.250869,theta: -1.656437, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110167,y: 290.250869,theta: -1.656437, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109087,y: 290.319202,theta: -1.655562, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109087,y: 290.319202,theta: -1.655562, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110392,y: 290.297473,theta: -1.655413, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110392,y: 290.297473,theta: -1.655413, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110392,y: 290.297473,theta: -1.655413, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110235,y: 290.275432,theta: -1.655391, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110235,y: 290.275432,theta: -1.655391, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110235,y: 290.275432,theta: -1.655391, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108045,y: 290.313459,theta: -1.652320, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108045,y: 290.313459,theta: -1.652320, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108201,y: 290.292175,theta: -1.652540, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108201,y: 290.292175,theta: -1.652540, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109457,y: 290.267900,theta: -1.652168, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109457,y: 290.267900,theta: -1.652168, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109457,y: 290.267900,theta: -1.652168, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109109,y: 290.268328,theta: -1.652339, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109109,y: 290.268328,theta: -1.652339, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109109,y: 290.268328,theta: -1.652339, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110311,y: 290.244942,theta: -1.652077, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110311,y: 290.244942,theta: -1.652077, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109582,y: 290.224898,theta: -1.652448, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109582,y: 290.224898,theta: -1.652448, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109582,y: 290.224898,theta: -1.652448, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110291,y: 290.207803,theta: -1.651097, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110291,y: 290.207803,theta: -1.651097, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110277,y: 290.187185,theta: -1.651167, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110277,y: 290.187185,theta: -1.651167, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111297,y: 290.165280,theta: -1.650929, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111297,y: 290.165280,theta: -1.650929, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111297,y: 290.165280,theta: -1.650929, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110233,y: 290.148891,theta: -1.653045, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110233,y: 290.148891,theta: -1.653045, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111536,y: 290.127352,theta: -1.652469, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111536,y: 290.127352,theta: -1.652469, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111536,y: 290.127352,theta: -1.652469, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111506,y: 290.108073,theta: -1.653268, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111506,y: 290.108073,theta: -1.653268, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111001,y: 290.090342,theta: -1.653359, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111001,y: 290.090342,theta: -1.653359, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111001,y: 290.090342,theta: -1.653359, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111840,y: 290.070146,theta: -1.653650, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111840,y: 290.070146,theta: -1.653650, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113034,y: 290.048374,theta: -1.653006, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113034,y: 290.048374,theta: -1.653006, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113034,y: 290.048374,theta: -1.653006, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111590,y: 290.021073,theta: -1.651643, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111590,y: 290.021073,theta: -1.651643, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112916,y: 289.999633,theta: -1.651242, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112916,y: 289.999633,theta: -1.651242, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112916,y: 289.999633,theta: -1.651242, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112886,y: 289.977994,theta: -1.651177, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112886,y: 289.977994,theta: -1.651177, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112886,y: 289.977994,theta: -1.651177, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111202,y: 289.956308,theta: -1.652649, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111202,y: 289.956308,theta: -1.652649, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112361,y: 289.935755,theta: -1.652139, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112361,y: 289.935755,theta: -1.652139, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112361,y: 289.935755,theta: -1.652139, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112094,y: 289.912383,theta: -1.652167, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112094,y: 289.912383,theta: -1.652167, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112667,y: 289.889167,theta: -1.650785, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112667,y: 289.889167,theta: -1.650785, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112762,y: 289.866474,theta: -1.649737, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112762,y: 289.866474,theta: -1.649737, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112762,y: 289.866474,theta: -1.649737, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113761,y: 289.845909,theta: -1.649542, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113761,y: 289.845909,theta: -1.649542, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113761,y: 289.845909,theta: -1.649542, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113430,y: 289.824823,theta: -1.651519, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113430,y: 289.824823,theta: -1.651519, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113738,y: 289.805927,theta: -1.651486, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113738,y: 289.805927,theta: -1.651486, gridPosition: x: 0, y: 0'
'worldPose: x: -2.114503,y: 289.784324,theta: -1.650290, gridPosition: x: 0, y: 0'
'worldPose: x: -2.114503,y: 289.784324,theta: -1.650290, gridPosition: x: 0, y: 0'
'worldPose: x: -2.114503,y: 289.784324,theta: -1.650290, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111765,y: 289.767594,theta: -1.649560, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111765,y: 289.767594,theta: -1.649560, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113087,y: 289.745133,theta: -1.648998, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113087,y: 289.745133,theta: -1.648998, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113087,y: 289.745133,theta: -1.648998, gridPosition: x: 0, y: 0'
