'worldPose: x: -4.643503,y: -0.226613,theta: 0.078186, gridPosition: x: 0, y: 0'
'worldPose: x: -4.643503,y: -0.226613,theta: 0.078186, gridPosition: x: 0, y: 0'
'worldPose: x: -4.641882,y: -0.252113,theta: 0.078305, gridPosition: x: 0, y: 0'
'worldPose: x: -4.641882,y: -0.252113,theta: 0.078305, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645478,y: -0.226989,theta: 0.077560, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645478,y: -0.226989,theta: 0.077560, gridPosition: x: 0, y: 0'
'worldPose: x: -4.652881,y: -0.251172,theta: 0.077538, gridPosition: x: 0, y: 0'
'worldPose: x: -4.652881,y: -0.251172,theta: 0.077538, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645440,y: -0.227089,theta: 0.077615, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645440,y: -0.227089,theta: 0.077615, gridPosition: x: 0, y: 0'
'worldPose: x: -4.660517,y: -0.247263,theta: 0.077701, gridPosition: x: 0, y: 0'
'worldPose: x: -4.660517,y: -0.247263,theta: 0.077701, gridPosition: x: 0, y: 0'
'worldPose: x: -4.641523,y: -0.231964,theta: 0.076441, gridPosition: x: 0, y: 0'
'worldPose: x: -4.641523,y: -0.231964,theta: 0.076441, gridPosition: x: 0, y: 0'
'worldPose: x: -4.663715,y: -0.245578,theta: 0.077301, gridPosition: x: 0, y: 0'
'worldPose: x: -4.663715,y: -0.245578,theta: 0.077301, gridPosition: x: 0, y: 0'
'worldPose: x: -4.640505,y: -0.238102,theta: 0.076833, gridPosition: x: 0, y: 0'
'worldPose: x: -4.640505,y: -0.238102,theta: 0.076833, gridPosition: x: 0, y: 0'
'worldPose: x: -4.666322,y: -0.244763,theta: 0.076871, gridPosition: x: 0, y: 0'
'worldPose: x: -4.666322,y: -0.244763,theta: 0.076871, gridPosition: x: 0, y: 0'
'worldPose: x: -4.642174,y: -0.248834,theta: 0.077189, gridPosition: x: 0, y: 0'
'worldPose: x: -4.642174,y: -0.248834,theta: 0.077189, gridPosition: x: 0, y: 0'
'worldPose: x: -4.669522,y: -0.248289,theta: 0.076985, gridPosition: x: 0, y: 0'
'worldPose: x: -4.669522,y: -0.248289,theta: 0.076985, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645539,y: -0.257174,theta: 0.077285, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645539,y: -0.257174,theta: 0.077285, gridPosition: x: 0, y: 0'
'worldPose: x: -4.665648,y: -0.242625,theta: 0.077088, gridPosition: x: 0, y: 0'
'worldPose: x: -4.665648,y: -0.242625,theta: 0.077088, gridPosition: x: 0, y: 0'
'worldPose: x: -4.644394,y: -0.255783,theta: 0.078038, gridPosition: x: 0, y: 0'
'worldPose: x: -4.644394,y: -0.255783,theta: 0.078038, gridPosition: x: 0, y: 0'
'worldPose: x: -4.662462,y: -0.238174,theta: 0.076793, gridPosition: x: 0, y: 0'
'worldPose: x: -4.662462,y: -0.238174,theta: 0.076793, gridPosition: x: 0, y: 0'
'worldPose: x: -4.648461,y: -0.257995,theta: 0.077994, gridPosition: x: 0, y: 0'
'worldPose: x: -4.648461,y: -0.257995,theta: 0.077994, gridPosition: x: 0, y: 0'
'worldPose: x: -4.666556,y: -0.237725,theta: 0.076710, gridPosition: x: 0, y: 0'
'worldPose: x: -4.666556,y: -0.237725,theta: 0.076710, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645222,y: -0.250915,theta: 0.077931, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645222,y: -0.250915,theta: 0.077931, gridPosition: x: 0, y: 0'
'worldPose: x: -4.662430,y: -0.234086,theta: 0.076682, gridPosition: x: 0, y: 0'
'worldPose: x: -4.662430,y: -0.234086,theta: 0.076682, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645239,y: -0.247502,theta: 0.078500, gridPosition: x: 0, y: 0'
'worldPose: x: -4.645239,y: -0.247502,theta: 0.078500, gridPosition: x: 0, y: 0'
'worldPose: x: -4.664075,y: -0.235345,theta: 0.075560, gridPosition: x: 0, y: 0'
'worldPose: x: -4.664075,y: -0.235345,theta: 0.075560, gridPosition: x: 0, y: 0'
'worldPose: x: -4.633029,y: -0.239525,theta: 0.079191, gridPosition: x: 0, y: 0'
'worldPose: x: -4.633029,y: -0.239525,theta: 0.079191, gridPosition: x: 0, y: 0'
'worldPose: x: -4.649787,y: -0.231255,theta: 0.077211, gridPosition: x: 0, y: 0'
'worldPose: x: -4.649787,y: -0.231255,theta: 0.077211, gridPosition: x: 0, y: 0'
'worldPose: x: -4.619907,y: -0.238674,theta: 0.080642, gridPosition: x: 0, y: 0'
'worldPose: x: -4.619907,y: -0.238674,theta: 0.080642, gridPosition: x: 0, y: 0'
'worldPose: x: -4.637710,y: -0.232212,theta: 0.078567, gridPosition: x: 0, y: 0'
'worldPose: x: -4.637710,y: -0.232212,theta: 0.078567, gridPosition: x: 0, y: 0'
'worldPose: x: -4.608333,y: -0.233752,theta: 0.081836, gridPosition: x: 0, y: 0'
'worldPose: x: -4.608333,y: -0.233752,theta: 0.081836, gridPosition: x: 0, y: 0'
'worldPose: x: -4.627229,y: -0.220784,theta: 0.078637, gridPosition: x: 0, y: 0'
'worldPose: x: -4.627229,y: -0.220784,theta: 0.078637, gridPosition: x: 0, y: 0'
'worldPose: x: -4.607275,y: -0.243229,theta: 0.080421, gridPosition: x: 0, y: 0'
'worldPose: x: -4.607275,y: -0.243229,theta: 0.080421, gridPosition: x: 0, y: 0'
'worldPose: x: -4.593238,y: -0.219735,theta: 0.078635, gridPosition: x: 0, y: 0'
'worldPose: x: -4.593238,y: -0.219735,theta: 0.078635, gridPosition: x: 0, y: 0'
'worldPose: x: -4.561452,y: -0.243182,theta: 0.082001, gridPosition: x: 0, y: 0'
'worldPose: x: -4.561452,y: -0.243182,theta: 0.082001, gridPosition: x: 0, y: 0'
'worldPose: x: -4.546232,y: -0.228839,theta: 0.080374, gridPosition: x: 0, y: 0'
'worldPose: x: -4.546232,y: -0.228839,theta: 0.080374, gridPosition: x: 0, y: 0'
