'worldPose: x: 0.000000,y: 0.000000,theta: -0.000000, gridPosition: x: 0, y: 0'
'worldPose: x: 106.059753,y: 58.069540,theta: 1.603866, gridPosition: x: 0, y: 0'
'worldPose: x: 106.059753,y: 58.069540,theta: 1.603866, gridPosition: x: 0, y: 0'
'worldPose: x: 106.058872,y: 58.095558,theta: 1.605059, gridPosition: x: 0, y: 0'
'worldPose: x: 106.057962,y: 58.121553,theta: 1.606328, gridPosition: x: 0, y: 0'
'worldPose: x: 106.057015,y: 58.147602,theta: 1.607695, gridPosition: x: 0, y: 0'
'worldPose: x: 106.056034,y: 58.173625,theta: 1.609012, gridPosition: x: 0, y: 0'
'worldPose: x: 106.055017,y: 58.199689,theta: 1.610237, gridPosition: x: 0, y: 0'
'worldPose: x: 106.053981,y: 58.225680,theta: 1.610893, gridPosition: x: 0, y: 0'
'worldPose: x: 106.052916,y: 58.251955,theta: 1.611652, gridPosition: x: 0, y: 0'
'worldPose: x: 106.051841,y: 58.277700,theta: 1.613170, gridPosition: x: 0, y: 0'
'worldPose: x: 106.050713,y: 58.303718,theta: 1.614609, gridPosition: x: 0, y: 0'
'worldPose: x: 106.049574,y: 58.329718,theta: 1.614349, gridPosition: x: 0, y: 0'
'worldPose: x: 106.048467,y: 58.355737,theta: 1.612321, gridPosition: x: 0, y: 0'
'worldPose: x: 106.047436,y: 58.381744,theta: 1.609100, gridPosition: x: 0, y: 0'
'worldPose: x: 106.046488,y: 58.407793,theta: 1.605944, gridPosition: x: 0, y: 0'
'worldPose: x: 106.045589,y: 58.434523,theta: 1.603470, gridPosition: x: 0, y: 0'
'worldPose: x: 106.044767,y: 58.460548,theta: 1.601776, gridPosition: x: 0, y: 0'
'worldPose: x: 106.043962,y: 58.486715,theta: 1.601606, gridPosition: x: 0, y: 0'
'worldPose: x: 106.043108,y: 58.514004,theta: 1.602388, gridPosition: x: 0, y: 0'
'worldPose: x: 106.042234,y: 58.541765,theta: 1.601936, gridPosition: x: 0, y: 0'
'worldPose: x: 106.041401,y: 58.569201,theta: 1.600629, gridPosition: x: 0, y: 0'
'worldPose: x: 106.040628,y: 58.595555,theta: 1.599891, gridPosition: x: 0, y: 0'
'worldPose: x: 106.039882,y: 58.621588,theta: 1.598990, gridPosition: x: 0, y: 0'
'worldPose: x: 106.039173,y: 58.647632,theta: 1.597343, gridPosition: x: 0, y: 0'
'worldPose: x: 106.038507,y: 58.673645,theta: 1.595761, gridPosition: x: 0, y: 0'
'worldPose: x: 106.037868,y: 58.699686,theta: 1.595188, gridPosition: x: 0, y: 0'
'worldPose: x: 106.037237,y: 58.725719,theta: 1.594881, gridPosition: x: 0, y: 0'
'worldPose: x: 106.036617,y: 58.751763,theta: 1.594436, gridPosition: x: 0, y: 0'
'worldPose: x: 106.036018,y: 58.777788,theta: 1.593430, gridPosition: x: 0, y: 0'
'worldPose: x: 106.035449,y: 58.803829,theta: 1.592141, gridPosition: x: 0, y: 0'
'worldPose: x: 106.034911,y: 58.829917,theta: 1.590887, gridPosition: x: 0, y: 0'
'worldPose: x: 106.034409,y: 58.855892,theta: 1.589570, gridPosition: x: 0, y: 0'
'worldPose: x: 106.033925,y: 58.882507,theta: 1.588660, gridPosition: x: 0, y: 0'
'worldPose: x: 106.033480,y: 58.908019,theta: 1.588015, gridPosition: x: 0, y: 0'
'worldPose: x: 106.033044,y: 58.934007,theta: 1.587227, gridPosition: x: 0, y: 0'
'worldPose: x: 106.017190,y: 58.969492,theta: 1.586408, gridPosition: x: 0, y: 0'
'worldPose: x: 106.016798,y: 58.995535,theta: 1.585442, gridPosition: x: 0, y: 0'
'worldPose: x: 106.016433,y: 59.021624,theta: 1.584313, gridPosition: x: 0, y: 0'
'worldPose: x: 106.016102,y: 59.047648,theta: 1.583057, gridPosition: x: 0, y: 0'
'worldPose: x: 105.969973,y: 59.089583,theta: 1.582238, gridPosition: x: 0, y: 0'
'worldPose: x: 105.964276,y: 59.123296,theta: 1.580959, gridPosition: x: 0, y: 0'
