'worldPose: x: -1.246809,y: 283.489836,theta: -1.625206, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247693,y: 283.489545,theta: -1.625184, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247693,y: 283.489545,theta: -1.625184, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247693,y: 283.489545,theta: -1.625184, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247274,y: 283.490441,theta: -1.625100, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247274,y: 283.490441,theta: -1.625100, gridPosition: x: 0, y: 0'
'worldPose: x: -1.246886,y: 283.489892,theta: -1.625333, gridPosition: x: 0, y: 0'
'worldPose: x: -1.246886,y: 283.489892,theta: -1.625333, gridPosition: x: 0, y: 0'
'worldPose: x: -1.246886,y: 283.489892,theta: -1.625333, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247322,y: 283.489936,theta: -1.625372, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247322,y: 283.489936,theta: -1.625372, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247457,y: 283.490699,theta: -1.625212, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247457,y: 283.490699,theta: -1.625212, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247457,y: 283.490699,theta: -1.625212, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247556,y: 283.490335,theta: -1.625283, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247556,y: 283.490335,theta: -1.625283, gridPosition: x: 0, y: 0'
'worldPose: x: -1.246930,y: 283.490353,theta: -1.625198, gridPosition: x: 0, y: 0'
'worldPose: x: -1.246930,y: 283.490353,theta: -1.625198, gridPosition: x: 0, y: 0'
'worldPose: x: -1.246930,y: 283.490353,theta: -1.625198, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247231,y: 283.490695,theta: -1.625065, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247231,y: 283.490695,theta: -1.625065, gridPosition: x: 0, y: 0'
'worldPose: x: -1.247303,y: 283.490135,theta: -1.625171, gridPosition: x: 0, y: 0'
