'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.829385,y: 0.024980,theta: -0.041958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.831119,y: 0.024908,theta: -0.041690, gridPosition: x: 0, y: 0'
'worldPose: x: 0.832854,y: 0.024838,theta: -0.040278, gridPosition: x: 0, y: 0'
'worldPose: x: 0.834587,y: 0.024768,theta: -0.040509, gridPosition: x: 0, y: 0'
'worldPose: x: 0.836671,y: 0.024684,theta: -0.040449, gridPosition: x: 0, y: 0'
'worldPose: x: 0.840485,y: 0.024528,theta: -0.040903, gridPosition: x: 0, y: 0'
'worldPose: x: 0.845687,y: 0.024319,theta: -0.040391, gridPosition: x: 0, y: 0'
'worldPose: x: 0.851235,y: 0.024093,theta: -0.041013, gridPosition: x: 0, y: 0'
'worldPose: x: 0.858522,y: 0.023792,theta: -0.041245, gridPosition: x: 0, y: 0'
'worldPose: x: 0.867192,y: 0.023435,theta: -0.041155, gridPosition: x: 0, y: 0'
'worldPose: x: 0.877597,y: 0.023005,theta: -0.041493, gridPosition: x: 0, y: 0'
'worldPose: x: 0.889733,y: 0.022497,theta: -0.042027, gridPosition: x: 0, y: 0'
