'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.946394,y: 5.677661,theta: 0.052961, gridPosition: x: 0, y: 0'
'worldPose: x: 24.947086,y: 5.677698,theta: 0.052493, gridPosition: x: 0, y: 0'
'worldPose: x: 24.948822,y: 5.677789,theta: 0.052484, gridPosition: x: 0, y: 0'
'worldPose: x: 24.952288,y: 5.677971,theta: 0.052471, gridPosition: x: 0, y: 0'
'worldPose: x: 24.955755,y: 5.678153,theta: 0.052471, gridPosition: x: 0, y: 0'
'worldPose: x: 24.958878,y: 5.678317,theta: 0.052588, gridPosition: x: 0, y: 0'
'worldPose: x: 24.960617,y: 5.678409,theta: 0.052805, gridPosition: x: 0, y: 0'
'worldPose: x: 24.962347,y: 5.678501,theta: 0.053029, gridPosition: x: 0, y: 0'
'worldPose: x: 24.965819,y: 5.678685,theta: 0.053189, gridPosition: x: 0, y: 0'
'worldPose: x: 24.969278,y: 5.678870,theta: 0.053261, gridPosition: x: 0, y: 0'
'worldPose: x: 24.972055,y: 5.679018,theta: 0.053149, gridPosition: x: 0, y: 0'
'worldPose: x: 24.976562,y: 5.679256,theta: 0.052732, gridPosition: x: 0, y: 0'
'worldPose: x: 24.981073,y: 5.679494,theta: 0.052560, gridPosition: x: 0, y: 0'
'worldPose: x: 24.986267,y: 5.679767,theta: 0.052742, gridPosition: x: 0, y: 0'
'worldPose: x: 24.990569,y: 5.679996,theta: 0.053187, gridPosition: x: 0, y: 0'
'worldPose: x: 24.995782,y: 5.680275,theta: 0.053655, gridPosition: x: 0, y: 0'
'worldPose: x: 25.000968,y: 5.680554,theta: 0.053978, gridPosition: x: 0, y: 0'
'worldPose: x: 25.006170,y: 5.680836,theta: 0.054186, gridPosition: x: 0, y: 0'
'worldPose: x: 25.011373,y: 5.681119,theta: 0.054226, gridPosition: x: 0, y: 0'
'worldPose: x: 25.016572,y: 5.681400,theta: 0.054002, gridPosition: x: 0, y: 0'
'worldPose: x: 25.021769,y: 5.681680,theta: 0.053633, gridPosition: x: 0, y: 0'
'worldPose: x: 25.027661,y: 5.681995,theta: 0.053317, gridPosition: x: 0, y: 0'
'worldPose: x: 25.032882,y: 5.682274,theta: 0.053348, gridPosition: x: 0, y: 0'
'worldPose: x: 25.038062,y: 5.682552,theta: 0.053785, gridPosition: x: 0, y: 0'
'worldPose: x: 25.043268,y: 5.682833,theta: 0.054097, gridPosition: x: 0, y: 0'
'worldPose: x: 25.048468,y: 5.683115,theta: 0.054161, gridPosition: x: 0, y: 0'
'worldPose: x: 25.053674,y: 5.683397,theta: 0.054151, gridPosition: x: 0, y: 0'
'worldPose: x: 25.058868,y: 5.683679,theta: 0.054458, gridPosition: x: 0, y: 0'
'worldPose: x: 25.064072,y: 5.683964,theta: 0.054751, gridPosition: x: 0, y: 0'
'worldPose: x: 25.069267,y: 5.684249,theta: 0.054638, gridPosition: x: 0, y: 0'
'worldPose: x: 25.074473,y: 5.684532,theta: 0.054140, gridPosition: x: 0, y: 0'
'worldPose: x: 25.079673,y: 5.684813,theta: 0.053957, gridPosition: x: 0, y: 0'
'worldPose: x: 25.084869,y: 5.685094,theta: 0.054290, gridPosition: x: 0, y: 0'
'worldPose: x: 25.090075,y: 5.685379,theta: 0.054959, gridPosition: x: 0, y: 0'
'worldPose: x: 25.095278,y: 5.685668,theta: 0.055573, gridPosition: x: 0, y: 0'
'worldPose: x: 25.100479,y: 5.685958,theta: 0.055842, gridPosition: x: 0, y: 0'
'worldPose: x: 25.105676,y: 5.686247,theta: 0.055307, gridPosition: x: 0, y: 0'
