'worldPose: x: 12.489181,y: -1.218189,theta: -0.022745, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022761, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022760, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022763, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022775, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022763, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022773, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022773, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022749, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022768, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022769, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022765, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022783, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022777, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022750, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022760, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022761, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022736, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022730, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022733, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022726, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022715, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022728, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022719, gridPosition: x: 0, y: 0'
'worldPose: x: 12.489181,y: -1.218189,theta: -0.022694, gridPosition: x: 0, y: 0'
