'worldPose: x: 11.373304,y: 1.227955,theta: 3.133094, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133072, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133081, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133081, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133104, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133118, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133154, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133143, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133167, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133152, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133125, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133093, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133086, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133091, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133079, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133078, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133056, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133062, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133072, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133065, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133083, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133089, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133095, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133103, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133127, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133136, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133147, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133133, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133132, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133127, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133115, gridPosition: x: 0, y: 0'
'worldPose: x: 11.373304,y: 1.227955,theta: 3.133155, gridPosition: x: 0, y: 0'
'worldPose: x: 11.371569,y: 1.227970,theta: 3.133251, gridPosition: x: 0, y: 0'
'worldPose: x: 11.369484,y: 1.227987,theta: 3.133299, gridPosition: x: 0, y: 0'
'worldPose: x: 11.367403,y: 1.228004,theta: 3.133300, gridPosition: x: 0, y: 0'
'worldPose: x: 11.365667,y: 1.228019,theta: 3.133276, gridPosition: x: 0, y: 0'
'worldPose: x: 11.363927,y: 1.228033,theta: 3.133373, gridPosition: x: 0, y: 0'
'worldPose: x: 11.361850,y: 1.228050,theta: 3.133469, gridPosition: x: 0, y: 0'
'worldPose: x: 11.358725,y: 1.228075,theta: 3.133507, gridPosition: x: 0, y: 0'
'worldPose: x: 11.355250,y: 1.228103,theta: 3.133695, gridPosition: x: 0, y: 0'
'worldPose: x: 11.351781,y: 1.228130,theta: 3.133885, gridPosition: x: 0, y: 0'
'worldPose: x: 11.348308,y: 1.228156,theta: 3.134172, gridPosition: x: 0, y: 0'
'worldPose: x: 11.343789,y: 1.228190,theta: 3.134203, gridPosition: x: 0, y: 0'
