'worldPose: x: 0.210855,y: -0.719103,theta: 0.013074, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013062, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013058, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013052, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013047, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013042, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013029, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013028, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013033, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013041, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013028, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013037, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013036, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013035, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013030, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013030, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013024, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013004, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013000, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013003, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013011, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013010, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013016, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.013020, gridPosition: x: 0, y: 0'
