'worldPose: x: -1.804764,y: 290.071870,theta: -1.665922, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804764,y: 290.071870,theta: -1.665922, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804943,y: 290.071505,theta: -1.665900, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804943,y: 290.071505,theta: -1.665900, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804943,y: 290.071505,theta: -1.665900, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804630,y: 290.071090,theta: -1.665884, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804630,y: 290.071090,theta: -1.665884, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804943,y: 290.071403,theta: -1.666008, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804943,y: 290.071403,theta: -1.666008, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804943,y: 290.071403,theta: -1.666008, gridPosition: x: 0, y: 0'
'worldPose: x: -1.805200,y: 290.070929,theta: -1.665920, gridPosition: x: 0, y: 0'
'worldPose: x: -1.805200,y: 290.070929,theta: -1.665920, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804839,y: 290.071614,theta: -1.665974, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804839,y: 290.071614,theta: -1.665974, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804839,y: 290.071614,theta: -1.665974, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804705,y: 290.071126,theta: -1.665916, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804705,y: 290.071126,theta: -1.665916, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804915,y: 290.071676,theta: -1.665930, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804915,y: 290.071676,theta: -1.665930, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804915,y: 290.071676,theta: -1.665930, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804663,y: 290.071753,theta: -1.665954, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804663,y: 290.071753,theta: -1.665954, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804720,y: 290.071208,theta: -1.665913, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804720,y: 290.071208,theta: -1.665913, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804720,y: 290.071208,theta: -1.665913, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804939,y: 290.071929,theta: -1.665917, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804939,y: 290.071929,theta: -1.665917, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804716,y: 290.071710,theta: -1.665916, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804716,y: 290.071710,theta: -1.665916, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804716,y: 290.071710,theta: -1.665916, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804824,y: 290.071507,theta: -1.665933, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804824,y: 290.071507,theta: -1.665933, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804658,y: 290.071544,theta: -1.665932, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804658,y: 290.071544,theta: -1.665932, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804658,y: 290.071544,theta: -1.665932, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804907,y: 290.071671,theta: -1.666006, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804907,y: 290.071671,theta: -1.666006, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804559,y: 290.071612,theta: -1.665921, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804559,y: 290.071612,theta: -1.665921, gridPosition: x: 0, y: 0'
'worldPose: x: -1.804559,y: 290.071612,theta: -1.665921, gridPosition: x: 0, y: 0'
