'worldPose: x: 14.533365,y: 294.495897,theta: -1.767967, gridPosition: x: 0, y: 0'
'worldPose: x: 14.533953,y: 294.495573,theta: -1.767838, gridPosition: x: 0, y: 0'
'worldPose: x: 14.533953,y: 294.495573,theta: -1.767838, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534710,y: 294.496926,theta: -1.767727, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534710,y: 294.496926,theta: -1.767727, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534710,y: 294.496926,theta: -1.767727, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534355,y: 294.497229,theta: -1.767668, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534355,y: 294.497229,theta: -1.767668, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534172,y: 294.496593,theta: -1.767729, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534172,y: 294.496593,theta: -1.767729, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534172,y: 294.496593,theta: -1.767729, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534213,y: 294.497374,theta: -1.767793, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534213,y: 294.497374,theta: -1.767793, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534658,y: 294.497094,theta: -1.767707, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534658,y: 294.497094,theta: -1.767707, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534658,y: 294.497094,theta: -1.767707, gridPosition: x: 0, y: 0'
'worldPose: x: 14.535500,y: 294.497816,theta: -1.767576, gridPosition: x: 0, y: 0'
'worldPose: x: 14.535500,y: 294.497816,theta: -1.767576, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534714,y: 294.496998,theta: -1.767661, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534714,y: 294.496998,theta: -1.767661, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534714,y: 294.496998,theta: -1.767661, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534775,y: 294.496917,theta: -1.767669, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534775,y: 294.496917,theta: -1.767669, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534214,y: 294.495449,theta: -1.767911, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534214,y: 294.495449,theta: -1.767911, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534214,y: 294.495449,theta: -1.767911, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534458,y: 294.496514,theta: -1.767900, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534458,y: 294.496514,theta: -1.767900, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534069,y: 294.497548,theta: -1.767849, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534069,y: 294.497548,theta: -1.767849, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534069,y: 294.497548,theta: -1.767849, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534661,y: 294.497961,theta: -1.767634, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534661,y: 294.497961,theta: -1.767634, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534385,y: 294.496669,theta: -1.767698, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534385,y: 294.496669,theta: -1.767698, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534385,y: 294.496669,theta: -1.767698, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534557,y: 294.497860,theta: -1.767547, gridPosition: x: 0, y: 0'
'worldPose: x: 14.534557,y: 294.497860,theta: -1.767547, gridPosition: x: 0, y: 0'
