'worldPose: x: -1.319988,y: 283.790234,theta: -1.657741, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319988,y: 283.790234,theta: -1.657741, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319924,y: 283.790367,theta: -1.657812, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319924,y: 283.790367,theta: -1.657812, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319661,y: 283.789913,theta: -1.657827, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319661,y: 283.789913,theta: -1.657827, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319661,y: 283.789913,theta: -1.657827, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319978,y: 283.790177,theta: -1.657760, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319978,y: 283.790177,theta: -1.657760, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319899,y: 283.790371,theta: -1.657730, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319899,y: 283.790371,theta: -1.657730, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319899,y: 283.790371,theta: -1.657730, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319954,y: 283.790321,theta: -1.657646, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319954,y: 283.790321,theta: -1.657646, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320618,y: 283.789804,theta: -1.657709, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320618,y: 283.789804,theta: -1.657709, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320618,y: 283.789804,theta: -1.657709, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320123,y: 283.789987,theta: -1.657691, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320123,y: 283.789987,theta: -1.657691, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319775,y: 283.790625,theta: -1.657809, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319775,y: 283.790625,theta: -1.657809, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319775,y: 283.790625,theta: -1.657809, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320444,y: 283.789805,theta: -1.657836, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320444,y: 283.789805,theta: -1.657836, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320171,y: 283.789646,theta: -1.657828, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320171,y: 283.789646,theta: -1.657828, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320171,y: 283.789646,theta: -1.657828, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319687,y: 283.790083,theta: -1.657840, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319687,y: 283.790083,theta: -1.657840, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320070,y: 283.790427,theta: -1.657829, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320070,y: 283.790427,theta: -1.657829, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320070,y: 283.790427,theta: -1.657829, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319703,y: 283.790350,theta: -1.657830, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319703,y: 283.790350,theta: -1.657830, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319790,y: 283.790006,theta: -1.657796, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319790,y: 283.790006,theta: -1.657796, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319790,y: 283.790006,theta: -1.657796, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320093,y: 283.790045,theta: -1.657728, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320093,y: 283.790045,theta: -1.657728, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319729,y: 283.790411,theta: -1.657725, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319729,y: 283.790411,theta: -1.657725, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319729,y: 283.790411,theta: -1.657725, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319825,y: 283.790182,theta: -1.657752, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319825,y: 283.790182,theta: -1.657752, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319702,y: 283.788362,theta: -1.657790, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319702,y: 283.788362,theta: -1.657790, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319702,y: 283.788362,theta: -1.657790, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319048,y: 283.784296,theta: -1.657797, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319048,y: 283.784296,theta: -1.657797, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319290,y: 283.777451,theta: -1.657851, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319290,y: 283.777451,theta: -1.657851, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319290,y: 283.777451,theta: -1.657851, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319549,y: 283.769961,theta: -1.657905, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319549,y: 283.769961,theta: -1.657905, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319498,y: 283.760495,theta: -1.657934, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319498,y: 283.760495,theta: -1.657934, gridPosition: x: 0, y: 0'
'worldPose: x: -1.319498,y: 283.760495,theta: -1.657934, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320104,y: 283.750240,theta: -1.657626, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320104,y: 283.750240,theta: -1.657626, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320187,y: 283.739742,theta: -1.657528, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320187,y: 283.739742,theta: -1.657528, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320187,y: 283.739742,theta: -1.657528, gridPosition: x: 0, y: 0'
'worldPose: x: -1.320775,y: 283.729330,theta: -1.657502, gridPosition: x: 0, y: 0'
