'worldPose: x: -12.262607,y: 289.618019,theta: 1.422411, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262607,y: 289.618019,theta: 1.422411, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262927,y: 289.617971,theta: 1.422358, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262927,y: 289.617971,theta: 1.422358, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262927,y: 289.617971,theta: 1.422358, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263648,y: 289.618045,theta: 1.422303, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263648,y: 289.618045,theta: 1.422303, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263121,y: 289.617883,theta: 1.422294, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263121,y: 289.617883,theta: 1.422294, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263121,y: 289.617883,theta: 1.422294, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262979,y: 289.617779,theta: 1.422362, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262979,y: 289.617779,theta: 1.422362, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263179,y: 289.617891,theta: 1.422430, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263179,y: 289.617891,theta: 1.422430, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263179,y: 289.617891,theta: 1.422430, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263099,y: 289.618300,theta: 1.422517, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263099,y: 289.618300,theta: 1.422517, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262502,y: 289.618076,theta: 1.422550, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262502,y: 289.618076,theta: 1.422550, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262502,y: 289.618076,theta: 1.422550, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263118,y: 289.618437,theta: 1.422573, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263118,y: 289.618437,theta: 1.422573, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262529,y: 289.618059,theta: 1.422436, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262529,y: 289.618059,theta: 1.422436, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262529,y: 289.618059,theta: 1.422436, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262366,y: 289.618259,theta: 1.422462, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262366,y: 289.618259,theta: 1.422462, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262388,y: 289.617657,theta: 1.422375, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262388,y: 289.617657,theta: 1.422375, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262388,y: 289.617657,theta: 1.422375, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262641,y: 289.618146,theta: 1.422340, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262641,y: 289.618146,theta: 1.422340, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262125,y: 289.617598,theta: 1.422339, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262125,y: 289.617598,theta: 1.422339, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262125,y: 289.617598,theta: 1.422339, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262530,y: 289.618031,theta: 1.422455, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262530,y: 289.618031,theta: 1.422455, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262574,y: 289.618167,theta: 1.422505, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262574,y: 289.618167,theta: 1.422505, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262574,y: 289.618167,theta: 1.422505, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262708,y: 289.618060,theta: 1.422482, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262708,y: 289.618060,theta: 1.422482, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262713,y: 289.618144,theta: 1.422557, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262713,y: 289.618144,theta: 1.422557, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262713,y: 289.618144,theta: 1.422557, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262957,y: 289.617968,theta: 1.422555, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262957,y: 289.617968,theta: 1.422555, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263305,y: 289.617900,theta: 1.422518, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263305,y: 289.617900,theta: 1.422518, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263305,y: 289.617900,theta: 1.422518, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262776,y: 289.618041,theta: 1.422393, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262776,y: 289.618041,theta: 1.422393, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263075,y: 289.619088,theta: 1.422202, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263075,y: 289.619088,theta: 1.422202, gridPosition: x: 0, y: 0'
'worldPose: x: -12.263075,y: 289.619088,theta: 1.422202, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262273,y: 289.623005,theta: 1.421980, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262273,y: 289.623005,theta: 1.421980, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262440,y: 289.630891,theta: 1.422193, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262440,y: 289.630891,theta: 1.422193, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262440,y: 289.630891,theta: 1.422193, gridPosition: x: 0, y: 0'
'worldPose: x: -12.261887,y: 289.638720,theta: 1.422388, gridPosition: x: 0, y: 0'
'worldPose: x: -12.261887,y: 289.638720,theta: 1.422388, gridPosition: x: 0, y: 0'
'worldPose: x: -12.259426,y: 289.649068,theta: 1.422304, gridPosition: x: 0, y: 0'
'worldPose: x: -12.259426,y: 289.649068,theta: 1.422304, gridPosition: x: 0, y: 0'
'worldPose: x: -12.259426,y: 289.649068,theta: 1.422304, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262280,y: 289.659410,theta: 1.422292, gridPosition: x: 0, y: 0'
'worldPose: x: -12.262280,y: 289.659410,theta: 1.422292, gridPosition: x: 0, y: 0'
'worldPose: x: -12.260989,y: 289.669710,theta: 1.422769, gridPosition: x: 0, y: 0'
'worldPose: x: -12.260989,y: 289.669710,theta: 1.422769, gridPosition: x: 0, y: 0'
'worldPose: x: -12.260989,y: 289.669710,theta: 1.422769, gridPosition: x: 0, y: 0'
'worldPose: x: -12.260970,y: 289.680016,theta: 1.423074, gridPosition: x: 0, y: 0'
'worldPose: x: -12.260970,y: 289.680016,theta: 1.423074, gridPosition: x: 0, y: 0'
'worldPose: x: -12.257262,y: 289.690102,theta: 1.423074, gridPosition: x: 0, y: 0'
'worldPose: x: -12.257262,y: 289.690102,theta: 1.423074, gridPosition: x: 0, y: 0'
'worldPose: x: -12.257262,y: 289.690102,theta: 1.423074, gridPosition: x: 0, y: 0'
'worldPose: x: -12.255454,y: 289.700149,theta: 1.422590, gridPosition: x: 0, y: 0'
'worldPose: x: -12.255454,y: 289.700149,theta: 1.422590, gridPosition: x: 0, y: 0'
'worldPose: x: -12.255723,y: 289.705599,theta: 1.421456, gridPosition: x: 0, y: 0'
'worldPose: x: -12.255723,y: 289.705599,theta: 1.421456, gridPosition: x: 0, y: 0'
'worldPose: x: -12.255723,y: 289.705599,theta: 1.421456, gridPosition: x: 0, y: 0'
'worldPose: x: -12.255695,y: 289.715810,theta: 1.421786, gridPosition: x: 0, y: 0'
'worldPose: x: -12.255695,y: 289.715810,theta: 1.421786, gridPosition: x: 0, y: 0'
'worldPose: x: -12.254482,y: 289.727724,theta: 1.422732, gridPosition: x: 0, y: 0'
'worldPose: x: -12.254482,y: 289.727724,theta: 1.422732, gridPosition: x: 0, y: 0'
'worldPose: x: -12.254482,y: 289.727724,theta: 1.422732, gridPosition: x: 0, y: 0'
'worldPose: x: -12.251743,y: 289.740982,theta: 1.422437, gridPosition: x: 0, y: 0'
'worldPose: x: -12.251743,y: 289.740982,theta: 1.422437, gridPosition: x: 0, y: 0'
'worldPose: x: -12.252143,y: 289.751671,theta: 1.421523, gridPosition: x: 0, y: 0'
'worldPose: x: -12.252143,y: 289.751671,theta: 1.421523, gridPosition: x: 0, y: 0'
'worldPose: x: -12.252143,y: 289.751671,theta: 1.421523, gridPosition: x: 0, y: 0'
'worldPose: x: -12.252407,y: 289.755826,theta: 1.424161, gridPosition: x: 0, y: 0'
'worldPose: x: -12.252407,y: 289.755826,theta: 1.424161, gridPosition: x: 0, y: 0'
'worldPose: x: -12.250115,y: 289.767582,theta: 1.425269, gridPosition: x: 0, y: 0'
'worldPose: x: -12.250115,y: 289.767582,theta: 1.425269, gridPosition: x: 0, y: 0'
'worldPose: x: -12.250115,y: 289.767582,theta: 1.425269, gridPosition: x: 0, y: 0'
'worldPose: x: -12.250351,y: 289.778670,theta: 1.424507, gridPosition: x: 0, y: 0'
'worldPose: x: -12.250351,y: 289.778670,theta: 1.424507, gridPosition: x: 0, y: 0'
'worldPose: x: -12.248588,y: 289.787025,theta: 1.423888, gridPosition: x: 0, y: 0'
'worldPose: x: -12.248588,y: 289.787025,theta: 1.423888, gridPosition: x: 0, y: 0'
'worldPose: x: -12.248588,y: 289.787025,theta: 1.423888, gridPosition: x: 0, y: 0'
'worldPose: x: -12.248033,y: 289.795418,theta: 1.424558, gridPosition: x: 0, y: 0'
'worldPose: x: -12.248033,y: 289.795418,theta: 1.424558, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246975,y: 289.806550,theta: 1.425489, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246975,y: 289.806550,theta: 1.425489, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246975,y: 289.806550,theta: 1.425489, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246356,y: 289.815317,theta: 1.422847, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246356,y: 289.815317,theta: 1.422847, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245285,y: 289.823042,theta: 1.422726, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245285,y: 289.823042,theta: 1.422726, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245285,y: 289.823042,theta: 1.422726, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245010,y: 289.832339,theta: 1.423417, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245010,y: 289.832339,theta: 1.423417, gridPosition: x: 0, y: 0'
'worldPose: x: -12.243311,y: 289.843113,theta: 1.423732, gridPosition: x: 0, y: 0'
