'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.257843,y: 5.689546,theta: 0.080569, gridPosition: x: 0, y: 0'
'worldPose: x: 25.258536,y: 5.689602,theta: 0.079886, gridPosition: x: 0, y: 0'
'worldPose: x: 25.260264,y: 5.689740,theta: 0.079902, gridPosition: x: 0, y: 0'
'worldPose: x: 25.263725,y: 5.690017,theta: 0.079904, gridPosition: x: 0, y: 0'
'worldPose: x: 25.267185,y: 5.690294,theta: 0.079913, gridPosition: x: 0, y: 0'
'worldPose: x: 25.270649,y: 5.690572,theta: 0.079861, gridPosition: x: 0, y: 0'
'worldPose: x: 25.274108,y: 5.690849,theta: 0.079864, gridPosition: x: 0, y: 0'
'worldPose: x: 25.277243,y: 5.691099,theta: 0.079932, gridPosition: x: 0, y: 0'
'worldPose: x: 25.279651,y: 5.691292,theta: 0.079985, gridPosition: x: 0, y: 0'
'worldPose: x: 25.282774,y: 5.691543,theta: 0.080010, gridPosition: x: 0, y: 0'
'worldPose: x: 25.286228,y: 5.691820,theta: 0.080073, gridPosition: x: 0, y: 0'
'worldPose: x: 25.289691,y: 5.692098,theta: 0.080034, gridPosition: x: 0, y: 0'
'worldPose: x: 25.293151,y: 5.692375,theta: 0.079925, gridPosition: x: 0, y: 0'
'worldPose: x: 25.296612,y: 5.692652,theta: 0.079891, gridPosition: x: 0, y: 0'
'worldPose: x: 25.301458,y: 5.693041,theta: 0.080124, gridPosition: x: 0, y: 0'
'worldPose: x: 25.305962,y: 5.693404,theta: 0.080563, gridPosition: x: 0, y: 0'
'worldPose: x: 25.310453,y: 5.693767,theta: 0.080821, gridPosition: x: 0, y: 0'
'worldPose: x: 25.315649,y: 5.694188,theta: 0.080822, gridPosition: x: 0, y: 0'
'worldPose: x: 25.320838,y: 5.694608,theta: 0.080731, gridPosition: x: 0, y: 0'
'worldPose: x: 25.326032,y: 5.695028,theta: 0.080679, gridPosition: x: 0, y: 0'
'worldPose: x: 25.331221,y: 5.695447,theta: 0.080537, gridPosition: x: 0, y: 0'
'worldPose: x: 25.336441,y: 5.695868,theta: 0.080453, gridPosition: x: 0, y: 0'
