'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.024730,y: 0.327171,theta: 0.069201, gridPosition: x: 0, y: 0'
'worldPose: x: 10.025774,y: 0.327242,theta: 0.067328, gridPosition: x: 0, y: 0'
'worldPose: x: 10.027506,y: 0.327358,theta: 0.067413, gridPosition: x: 0, y: 0'
'worldPose: x: 10.029240,y: 0.327476,theta: 0.067483, gridPosition: x: 0, y: 0'
'worldPose: x: 10.031318,y: 0.327616,theta: 0.067495, gridPosition: x: 0, y: 0'
'worldPose: x: 10.034062,y: 0.327802,theta: 0.067489, gridPosition: x: 0, y: 0'
'worldPose: x: 10.037528,y: 0.328036,theta: 0.067452, gridPosition: x: 0, y: 0'
'worldPose: x: 10.040992,y: 0.328270,theta: 0.067413, gridPosition: x: 0, y: 0'
'worldPose: x: 10.044454,y: 0.328503,theta: 0.067304, gridPosition: x: 0, y: 0'
'worldPose: x: 10.048959,y: 0.328807,theta: 0.067330, gridPosition: x: 0, y: 0'
'worldPose: x: 10.053118,y: 0.329088,theta: 0.067609, gridPosition: x: 0, y: 0'
'worldPose: x: 10.057966,y: 0.329417,theta: 0.067935, gridPosition: x: 0, y: 0'
'worldPose: x: 10.062805,y: 0.329747,theta: 0.068138, gridPosition: x: 0, y: 0'
'worldPose: x: 10.068003,y: 0.330102,theta: 0.068203, gridPosition: x: 0, y: 0'
'worldPose: x: 10.072155,y: 0.330386,theta: 0.068325, gridPosition: x: 0, y: 0'
'worldPose: x: 10.078391,y: 0.330813,theta: 0.068481, gridPosition: x: 0, y: 0'
'worldPose: x: 10.083588,y: 0.331170,theta: 0.068514, gridPosition: x: 0, y: 0'
'worldPose: x: 10.088783,y: 0.331526,theta: 0.068275, gridPosition: x: 0, y: 0'
'worldPose: x: 10.093978,y: 0.331880,theta: 0.067966, gridPosition: x: 0, y: 0'
'worldPose: x: 10.099176,y: 0.332234,theta: 0.067933, gridPosition: x: 0, y: 0'
'worldPose: x: 10.104372,y: 0.332588,theta: 0.068142, gridPosition: x: 0, y: 0'
'worldPose: x: 10.109571,y: 0.332944,theta: 0.068394, gridPosition: x: 0, y: 0'
'worldPose: x: 10.114760,y: 0.333300,theta: 0.068722, gridPosition: x: 0, y: 0'
'worldPose: x: 10.119962,y: 0.333659,theta: 0.068974, gridPosition: x: 0, y: 0'
'worldPose: x: 10.125158,y: 0.334018,theta: 0.068936, gridPosition: x: 0, y: 0'
'worldPose: x: 10.130355,y: 0.334376,theta: 0.068609, gridPosition: x: 0, y: 0'
'worldPose: x: 10.135558,y: 0.334732,theta: 0.068190, gridPosition: x: 0, y: 0'
'worldPose: x: 10.140748,y: 0.335086,theta: 0.068114, gridPosition: x: 0, y: 0'
'worldPose: x: 10.145940,y: 0.335442,theta: 0.068558, gridPosition: x: 0, y: 0'
'worldPose: x: 10.151153,y: 0.335801,theta: 0.069134, gridPosition: x: 0, y: 0'
'worldPose: x: 10.155316,y: 0.336091,theta: 0.069481, gridPosition: x: 0, y: 0'
'worldPose: x: 10.160494,y: 0.336451,theta: 0.069544, gridPosition: x: 0, y: 0'
'worldPose: x: 10.166724,y: 0.336884,theta: 0.069063, gridPosition: x: 0, y: 0'
'worldPose: x: 10.171593,y: 0.337219,theta: 0.068556, gridPosition: x: 0, y: 0'
'worldPose: x: 10.177470,y: 0.337621,theta: 0.068220, gridPosition: x: 0, y: 0'
'worldPose: x: 10.183697,y: 0.338047,theta: 0.068353, gridPosition: x: 0, y: 0'
'worldPose: x: 10.189239,y: 0.338428,theta: 0.069035, gridPosition: x: 0, y: 0'
'worldPose: x: 10.194438,y: 0.338789,theta: 0.069427, gridPosition: x: 0, y: 0'
'worldPose: x: 10.199634,y: 0.339151,theta: 0.069342, gridPosition: x: 0, y: 0'
'worldPose: x: 10.204829,y: 0.339510,theta: 0.068901, gridPosition: x: 0, y: 0'
'worldPose: x: 10.210042,y: 0.339869,theta: 0.068665, gridPosition: x: 0, y: 0'
'worldPose: x: 10.215225,y: 0.340225,theta: 0.068698, gridPosition: x: 0, y: 0'
'worldPose: x: 10.220417,y: 0.340583,theta: 0.068959, gridPosition: x: 0, y: 0'
'worldPose: x: 10.223533,y: 0.340799,theta: 0.069152, gridPosition: x: 0, y: 0'
'worldPose: x: 10.229770,y: 0.341232,theta: 0.069254, gridPosition: x: 0, y: 0'
'worldPose: x: 10.236006,y: 0.341663,theta: 0.068983, gridPosition: x: 0, y: 0'
'worldPose: x: 10.240156,y: 0.341950,theta: 0.068892, gridPosition: x: 0, y: 0'
'worldPose: x: 10.245356,y: 0.342309,theta: 0.068990, gridPosition: x: 0, y: 0'
'worldPose: x: 10.251592,y: 0.342740,theta: 0.069164, gridPosition: x: 0, y: 0'
'worldPose: x: 10.256787,y: 0.343101,theta: 0.069236, gridPosition: x: 0, y: 0'
'worldPose: x: 10.261982,y: 0.343461,theta: 0.069164, gridPosition: x: 0, y: 0'
'worldPose: x: 10.266141,y: 0.343749,theta: 0.069152, gridPosition: x: 0, y: 0'
'worldPose: x: 10.272376,y: 0.344181,theta: 0.069173, gridPosition: x: 0, y: 0'
'worldPose: x: 10.276569,y: 0.344471,theta: 0.069255, gridPosition: x: 0, y: 0'
'worldPose: x: 10.281724,y: 0.344829,theta: 0.069319, gridPosition: x: 0, y: 0'
'worldPose: x: 10.287968,y: 0.345262,theta: 0.069287, gridPosition: x: 0, y: 0'
'worldPose: x: 10.293161,y: 0.345623,theta: 0.069330, gridPosition: x: 0, y: 0'
'worldPose: x: 10.298357,y: 0.345984,theta: 0.069436, gridPosition: x: 0, y: 0'
'worldPose: x: 10.303548,y: 0.346345,theta: 0.069453, gridPosition: x: 0, y: 0'
'worldPose: x: 10.307728,y: 0.346636,theta: 0.069485, gridPosition: x: 0, y: 0'
'worldPose: x: 10.314998,y: 0.347143,theta: 0.069667, gridPosition: x: 0, y: 0'
'worldPose: x: 10.320177,y: 0.347504,theta: 0.069740, gridPosition: x: 0, y: 0'
'worldPose: x: 10.324333,y: 0.347795,theta: 0.069680, gridPosition: x: 0, y: 0'
'worldPose: x: 10.330569,y: 0.348230,theta: 0.069729, gridPosition: x: 0, y: 0'
'worldPose: x: 10.335765,y: 0.348594,theta: 0.070110, gridPosition: x: 0, y: 0'
'worldPose: x: 10.340962,y: 0.348959,theta: 0.070058, gridPosition: x: 0, y: 0'
'worldPose: x: 10.346156,y: 0.349321,theta: 0.069265, gridPosition: x: 0, y: 0'
'worldPose: x: 10.351352,y: 0.349679,theta: 0.068401, gridPosition: x: 0, y: 0'
'worldPose: x: 10.356545,y: 0.350033,theta: 0.067997, gridPosition: x: 0, y: 0'
'worldPose: x: 10.360700,y: 0.350316,theta: 0.067872, gridPosition: x: 0, y: 0'
'worldPose: x: 10.366939,y: 0.350739,theta: 0.067593, gridPosition: x: 0, y: 0'
'worldPose: x: 10.372142,y: 0.351089,theta: 0.066984, gridPosition: x: 0, y: 0'
'worldPose: x: 10.377332,y: 0.351435,theta: 0.066040, gridPosition: x: 0, y: 0'
'worldPose: x: 10.381795,y: 0.351727,theta: 0.065262, gridPosition: x: 0, y: 0'
'worldPose: x: 10.387736,y: 0.352113,theta: 0.064644, gridPosition: x: 0, y: 0'
'worldPose: x: 10.393968,y: 0.352517,theta: 0.064801, gridPosition: x: 0, y: 0'
'worldPose: x: 10.399166,y: 0.352855,theta: 0.064979, gridPosition: x: 0, y: 0'
'worldPose: x: 10.404359,y: 0.353192,theta: 0.064620, gridPosition: x: 0, y: 0'
'worldPose: x: 10.409901,y: 0.353548,theta: 0.063688, gridPosition: x: 0, y: 0'
'worldPose: x: 10.415106,y: 0.353876,theta: 0.062483, gridPosition: x: 0, y: 0'
'worldPose: x: 10.420995,y: 0.354240,theta: 0.061532, gridPosition: x: 0, y: 0'
'worldPose: x: 10.426192,y: 0.354559,theta: 0.061256, gridPosition: x: 0, y: 0'
'worldPose: x: 10.431383,y: 0.354879,theta: 0.061626, gridPosition: x: 0, y: 0'
'worldPose: x: 10.435554,y: 0.355137,theta: 0.061840, gridPosition: x: 0, y: 0'
'worldPose: x: 10.441789,y: 0.355522,theta: 0.061357, gridPosition: x: 0, y: 0'
'worldPose: x: 10.446987,y: 0.355839,theta: 0.060563, gridPosition: x: 0, y: 0'
'worldPose: x: 10.452185,y: 0.356151,theta: 0.059759, gridPosition: x: 0, y: 0'
'worldPose: x: 10.456390,y: 0.356401,theta: 0.059194, gridPosition: x: 0, y: 0'
'worldPose: x: 10.462581,y: 0.356766,theta: 0.058640, gridPosition: x: 0, y: 0'
'worldPose: x: 10.467783,y: 0.357071,theta: 0.058525, gridPosition: x: 0, y: 0'
'worldPose: x: 10.472980,y: 0.357375,theta: 0.058418, gridPosition: x: 0, y: 0'
'worldPose: x: 10.477143,y: 0.357618,theta: 0.058169, gridPosition: x: 0, y: 0'
'worldPose: x: 10.483375,y: 0.357979,theta: 0.057588, gridPosition: x: 0, y: 0'
'worldPose: x: 10.488584,y: 0.358278,theta: 0.057074, gridPosition: x: 0, y: 0'
'worldPose: x: 10.490661,y: 0.358396,theta: 0.056887, gridPosition: x: 0, y: 0'
'worldPose: x: 10.496913,y: 0.358749,theta: 0.056400, gridPosition: x: 0, y: 0'
'worldPose: x: 10.504181,y: 0.359156,theta: 0.055710, gridPosition: x: 0, y: 0'
'worldPose: x: 10.509383,y: 0.359445,theta: 0.055333, gridPosition: x: 0, y: 0'
'worldPose: x: 10.514583,y: 0.359732,theta: 0.054972, gridPosition: x: 0, y: 0'
'worldPose: x: 10.518746,y: 0.359961,theta: 0.054629, gridPosition: x: 0, y: 0'
'worldPose: x: 10.524993,y: 0.360300,theta: 0.054137, gridPosition: x: 0, y: 0'
'worldPose: x: 10.530184,y: 0.360581,theta: 0.053970, gridPosition: x: 0, y: 0'
'worldPose: x: 10.535382,y: 0.360861,theta: 0.053855, gridPosition: x: 0, y: 0'
'worldPose: x: 10.540584,y: 0.361141,theta: 0.053624, gridPosition: x: 0, y: 0'
'worldPose: x: 10.508293,y: 0.364850,theta: 0.061237, gridPosition: x: 0, y: 0'
'worldPose: x: 10.501575,y: 0.366154,theta: 0.063139, gridPosition: x: 0, y: 0'
'worldPose: x: 10.507515,y: 0.366527,theta: 0.062529, gridPosition: x: 0, y: 0'
'worldPose: x: 10.512714,y: 0.366851,theta: 0.061959, gridPosition: x: 0, y: 0'
'worldPose: x: 10.517911,y: 0.367172,theta: 0.061412, gridPosition: x: 0, y: 0'
'worldPose: x: 10.523109,y: 0.367491,theta: 0.061158, gridPosition: x: 0, y: 0'
'worldPose: x: 10.528306,y: 0.367808,theta: 0.061057, gridPosition: x: 0, y: 0'
'worldPose: x: 10.534196,y: 0.368168,theta: 0.060805, gridPosition: x: 0, y: 0'
'worldPose: x: 10.539398,y: 0.368483,theta: 0.060200, gridPosition: x: 0, y: 0'
'worldPose: x: 10.543549,y: 0.368731,theta: 0.059670, gridPosition: x: 0, y: 0'
'worldPose: x: 10.549786,y: 0.369102,theta: 0.058991, gridPosition: x: 0, y: 0'
'worldPose: x: 10.554988,y: 0.369407,theta: 0.058504, gridPosition: x: 0, y: 0'
'worldPose: x: 10.560880,y: 0.369751,theta: 0.058170, gridPosition: x: 0, y: 0'
'worldPose: x: 10.566076,y: 0.370052,theta: 0.057812, gridPosition: x: 0, y: 0'
'worldPose: x: 10.571279,y: 0.370352,theta: 0.057297, gridPosition: x: 0, y: 0'
'worldPose: x: 10.577174,y: 0.370688,theta: 0.056610, gridPosition: x: 0, y: 0'
'worldPose: x: 10.582371,y: 0.370980,theta: 0.056013, gridPosition: x: 0, y: 0'
'worldPose: x: 10.587575,y: 0.371272,theta: 0.055880, gridPosition: x: 0, y: 0'
'worldPose: x: 10.593812,y: 0.371621,theta: 0.055880, gridPosition: x: 0, y: 0'
'worldPose: x: 10.597978,y: 0.371853,theta: 0.055723, gridPosition: x: 0, y: 0'
'worldPose: x: 10.603521,y: 0.372161,theta: 0.055151, gridPosition: x: 0, y: 0'
'worldPose: x: 10.611840,y: 0.372616,theta: 0.054157, gridPosition: x: 0, y: 0'
'worldPose: x: 10.618775,y: 0.372988,theta: 0.053287, gridPosition: x: 0, y: 0'
'worldPose: x: 10.625706,y: 0.373355,theta: 0.052883, gridPosition: x: 0, y: 0'
'worldPose: x: 10.634380,y: 0.373815,theta: 0.052958, gridPosition: x: 0, y: 0'
'worldPose: x: 10.643038,y: 0.374272,theta: 0.052535, gridPosition: x: 0, y: 0'
'worldPose: x: 10.652404,y: 0.374755,theta: 0.050705, gridPosition: x: 0, y: 0'
'worldPose: x: 10.662826,y: 0.375271,theta: 0.048817, gridPosition: x: 0, y: 0'
'worldPose: x: 10.671131,y: 0.375674,theta: 0.048502, gridPosition: x: 0, y: 0'
'worldPose: x: 10.683609,y: 0.376281,theta: 0.048483, gridPosition: x: 0, y: 0'
'worldPose: x: 10.692292,y: 0.376698,theta: 0.047545, gridPosition: x: 0, y: 0'
'worldPose: x: 10.706862,y: 0.377375,theta: 0.045818, gridPosition: x: 0, y: 0'
'worldPose: x: 10.717611,y: 0.377863,theta: 0.045160, gridPosition: x: 0, y: 0'
'worldPose: x: 10.726972,y: 0.378282,theta: 0.044351, gridPosition: x: 0, y: 0'
'worldPose: x: 10.738156,y: 0.378771,theta: 0.043160, gridPosition: x: 0, y: 0'
'worldPose: x: 10.749190,y: 0.379240,theta: 0.042095, gridPosition: x: 0, y: 0'
'worldPose: x: 10.759916,y: 0.379689,theta: 0.041745, gridPosition: x: 0, y: 0'
'worldPose: x: 10.772416,y: 0.380207,theta: 0.040974, gridPosition: x: 0, y: 0'
'worldPose: x: 10.782823,y: 0.380624,theta: 0.039455, gridPosition: x: 0, y: 0'
'worldPose: x: 10.793586,y: 0.381040,theta: 0.038211, gridPosition: x: 0, y: 0'
'worldPose: x: 10.801955,y: 0.381358,theta: 0.037871, gridPosition: x: 0, y: 0'
'worldPose: x: 10.812317,y: 0.381748,theta: 0.037386, gridPosition: x: 0, y: 0'
'worldPose: x: 10.824796,y: 0.382207,theta: 0.036251, gridPosition: x: 0, y: 0'
'worldPose: x: 10.831098,y: 0.382434,theta: 0.035735, gridPosition: x: 0, y: 0'
'worldPose: x: 10.845631,y: 0.382946,theta: 0.034798, gridPosition: x: 0, y: 0'
'worldPose: x: 10.853956,y: 0.383232,theta: 0.034111, gridPosition: x: 0, y: 0'
'worldPose: x: 10.866444,y: 0.383651,theta: 0.033210, gridPosition: x: 0, y: 0'
'worldPose: x: 10.876857,y: 0.383993,theta: 0.032492, gridPosition: x: 0, y: 0'
'worldPose: x: 10.885192,y: 0.384259,theta: 0.031582, gridPosition: x: 0, y: 0'
'worldPose: x: 10.896060,y: 0.384594,theta: 0.030313, gridPosition: x: 0, y: 0'
'worldPose: x: 10.908100,y: 0.384953,theta: 0.029572, gridPosition: x: 0, y: 0'
'worldPose: x: 10.916468,y: 0.385199,theta: 0.029213, gridPosition: x: 0, y: 0'
