'worldPose: x: -0.079356,y: -0.004593,theta: 0.053775, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053770, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053779, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053793, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053774, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053760, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053753, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053763, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053748, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053739, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053736, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053732, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053745, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053754, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053738, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053725, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053714, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053722, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053739, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053747, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053750, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053743, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053725, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053738, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053757, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079356,y: -0.004593,theta: 0.053761, gridPosition: x: 0, y: 0'
'worldPose: x: -0.079009,y: -0.004575,theta: 0.053756, gridPosition: x: 0, y: 0'
'worldPose: x: -0.077276,y: -0.004481,theta: 0.053830, gridPosition: x: 0, y: 0'
'worldPose: x: -0.075542,y: -0.004388,theta: 0.053803, gridPosition: x: 0, y: 0'
'worldPose: x: -0.073808,y: -0.004295,theta: 0.053799, gridPosition: x: 0, y: 0'
'worldPose: x: -0.071380,y: -0.004164,theta: 0.053938, gridPosition: x: 0, y: 0'
'worldPose: x: -0.067915,y: -0.003976,theta: 0.053952, gridPosition: x: 0, y: 0'
'worldPose: x: -0.064445,y: -0.003789,theta: 0.053793, gridPosition: x: 0, y: 0'
'worldPose: x: -0.060978,y: -0.003603,theta: 0.053662, gridPosition: x: 0, y: 0'
'worldPose: x: -0.057513,y: -0.003417,theta: 0.053600, gridPosition: x: 0, y: 0'
'worldPose: x: -0.054044,y: -0.003231,theta: 0.053677, gridPosition: x: 0, y: 0'
'worldPose: x: -0.049884,y: -0.003007,theta: 0.053611, gridPosition: x: 0, y: 0'
'worldPose: x: -0.044682,y: -0.002728,theta: 0.053563, gridPosition: x: 0, y: 0'
'worldPose: x: -0.039789,y: -0.002466,theta: 0.053517, gridPosition: x: 0, y: 0'
'worldPose: x: -0.034644,y: -0.002190,theta: 0.053563, gridPosition: x: 0, y: 0'
'worldPose: x: -0.029444,y: -0.001911,theta: 0.053558, gridPosition: x: 0, y: 0'
'worldPose: x: -0.024247,y: -0.001633,theta: 0.053381, gridPosition: x: 0, y: 0'
'worldPose: x: -0.019050,y: -0.001356,theta: 0.053184, gridPosition: x: 0, y: 0'
'worldPose: x: -0.013841,y: -0.001078,theta: 0.053186, gridPosition: x: 0, y: 0'
'worldPose: x: -0.008641,y: -0.000801,theta: 0.053346, gridPosition: x: 0, y: 0'
'worldPose: x: -0.003442,y: -0.000523,theta: 0.053451, gridPosition: x: 0, y: 0'
'worldPose: x: 0.001760,y: -0.000245,theta: 0.053377, gridPosition: x: 0, y: 0'
'worldPose: x: 0.006960,y: 0.000033,theta: 0.053372, gridPosition: x: 0, y: 0'
'worldPose: x: 0.012167,y: 0.000312,theta: 0.053458, gridPosition: x: 0, y: 0'
'worldPose: x: 0.017363,y: 0.000590,theta: 0.053394, gridPosition: x: 0, y: 0'
'worldPose: x: 0.022563,y: 0.000867,theta: 0.053142, gridPosition: x: 0, y: 0'
'worldPose: x: 0.027765,y: 0.001143,theta: 0.053033, gridPosition: x: 0, y: 0'
'worldPose: x: 0.032967,y: 0.001420,theta: 0.053154, gridPosition: x: 0, y: 0'
'worldPose: x: 0.038168,y: 0.001697,theta: 0.053188, gridPosition: x: 0, y: 0'
'worldPose: x: 0.043368,y: 0.001973,theta: 0.053068, gridPosition: x: 0, y: 0'
'worldPose: x: 0.048568,y: 0.002250,theta: 0.053204, gridPosition: x: 0, y: 0'
'worldPose: x: 0.053771,y: 0.002528,theta: 0.053622, gridPosition: x: 0, y: 0'
'worldPose: x: 0.058974,y: 0.002809,theta: 0.053923, gridPosition: x: 0, y: 0'
'worldPose: x: 0.064171,y: 0.003089,theta: 0.053798, gridPosition: x: 0, y: 0'
'worldPose: x: 0.069376,y: 0.003369,theta: 0.053510, gridPosition: x: 0, y: 0'
'worldPose: x: 0.074573,y: 0.003646,theta: 0.053218, gridPosition: x: 0, y: 0'
'worldPose: x: 0.079779,y: 0.003923,theta: 0.052995, gridPosition: x: 0, y: 0'
'worldPose: x: 0.084976,y: 0.004198,theta: 0.052949, gridPosition: x: 0, y: 0'
'worldPose: x: 0.090177,y: 0.004475,theta: 0.053437, gridPosition: x: 0, y: 0'
'worldPose: x: 0.095377,y: 0.004756,theta: 0.054115, gridPosition: x: 0, y: 0'
'worldPose: x: 0.100577,y: 0.005038,theta: 0.054372, gridPosition: x: 0, y: 0'
'worldPose: x: 0.105778,y: 0.005321,theta: 0.054035, gridPosition: x: 0, y: 0'
'worldPose: x: 0.110983,y: 0.005601,theta: 0.053556, gridPosition: x: 0, y: 0'
'worldPose: x: 0.116181,y: 0.005879,theta: 0.053394, gridPosition: x: 0, y: 0'
'worldPose: x: 0.121381,y: 0.006157,theta: 0.053564, gridPosition: x: 0, y: 0'
'worldPose: x: 0.126583,y: 0.006438,theta: 0.054051, gridPosition: x: 0, y: 0'
'worldPose: x: 0.131779,y: 0.006721,theta: 0.054784, gridPosition: x: 0, y: 0'
'worldPose: x: 0.136981,y: 0.007008,theta: 0.055271, gridPosition: x: 0, y: 0'
'worldPose: x: 0.142183,y: 0.007296,theta: 0.055163, gridPosition: x: 0, y: 0'
'worldPose: x: 0.147392,y: 0.007582,theta: 0.054599, gridPosition: x: 0, y: 0'
'worldPose: x: 0.152588,y: 0.007864,theta: 0.054145, gridPosition: x: 0, y: 0'
'worldPose: x: 0.157788,y: 0.008146,theta: 0.054024, gridPosition: x: 0, y: 0'
'worldPose: x: 0.162988,y: 0.008428,theta: 0.054280, gridPosition: x: 0, y: 0'
'worldPose: x: 0.168195,y: 0.008712,theta: 0.054770, gridPosition: x: 0, y: 0'
'worldPose: x: 0.173385,y: 0.008999,theta: 0.055385, gridPosition: x: 0, y: 0'
'worldPose: x: 0.177550,y: 0.009231,theta: 0.055764, gridPosition: x: 0, y: 0'
'worldPose: x: 0.183786,y: 0.009578,theta: 0.055553, gridPosition: x: 0, y: 0'
'worldPose: x: 0.188989,y: 0.009866,theta: 0.055035, gridPosition: x: 0, y: 0'
'worldPose: x: 0.194184,y: 0.010151,theta: 0.054746, gridPosition: x: 0, y: 0'
'worldPose: x: 0.199389,y: 0.010436,theta: 0.054818, gridPosition: x: 0, y: 0'
'worldPose: x: 0.204589,y: 0.010723,theta: 0.055131, gridPosition: x: 0, y: 0'
'worldPose: x: 0.209792,y: 0.011010,theta: 0.055360, gridPosition: x: 0, y: 0'
'worldPose: x: 0.214989,y: 0.011299,theta: 0.055667, gridPosition: x: 0, y: 0'
'worldPose: x: 0.220183,y: 0.011590,theta: 0.055911, gridPosition: x: 0, y: 0'
'worldPose: x: 0.225389,y: 0.011881,theta: 0.055838, gridPosition: x: 0, y: 0'
'worldPose: x: 0.230592,y: 0.012171,theta: 0.055540, gridPosition: x: 0, y: 0'
'worldPose: x: 0.235792,y: 0.012459,theta: 0.055381, gridPosition: x: 0, y: 0'
'worldPose: x: 0.240994,y: 0.012748,theta: 0.055392, gridPosition: x: 0, y: 0'
'worldPose: x: 0.246192,y: 0.013036,theta: 0.055443, gridPosition: x: 0, y: 0'
'worldPose: x: 0.251391,y: 0.013325,theta: 0.055473, gridPosition: x: 0, y: 0'
'worldPose: x: 0.256593,y: 0.013615,theta: 0.055820, gridPosition: x: 0, y: 0'
'worldPose: x: 0.261803,y: 0.013907,theta: 0.056374, gridPosition: x: 0, y: 0'
'worldPose: x: 0.267012,y: 0.014202,theta: 0.056676, gridPosition: x: 0, y: 0'
'worldPose: x: 0.272191,y: 0.014496,theta: 0.056497, gridPosition: x: 0, y: 0'
'worldPose: x: 0.277392,y: 0.014789,theta: 0.056215, gridPosition: x: 0, y: 0'
'worldPose: x: 0.282594,y: 0.015081,theta: 0.055952, gridPosition: x: 0, y: 0'
'worldPose: x: 0.287793,y: 0.015371,theta: 0.055759, gridPosition: x: 0, y: 0'
'worldPose: x: 0.292993,y: 0.015662,theta: 0.055809, gridPosition: x: 0, y: 0'
'worldPose: x: 0.298195,y: 0.015954,theta: 0.056335, gridPosition: x: 0, y: 0'
'worldPose: x: 0.303394,y: 0.016249,theta: 0.057067, gridPosition: x: 0, y: 0'
'worldPose: x: 0.308594,y: 0.016548,theta: 0.057422, gridPosition: x: 0, y: 0'
'worldPose: x: 0.313844,y: 0.016849,theta: 0.057225, gridPosition: x: 0, y: 0'
'worldPose: x: 0.318990,y: 0.017142,theta: 0.056750, gridPosition: x: 0, y: 0'
'worldPose: x: 0.364195,y: 0.037436,theta: 0.056347, gridPosition: x: 0, y: 0'
'worldPose: x: 0.369393,y: 0.037729,theta: 0.056301, gridPosition: x: 0, y: 0'
'worldPose: x: 0.374592,y: 0.038023,theta: 0.056683, gridPosition: x: 0, y: 0'
'worldPose: x: 0.379793,y: 0.038320,theta: 0.057428, gridPosition: x: 0, y: 0'
'worldPose: x: 0.384996,y: 0.038622,theta: 0.058148, gridPosition: x: 0, y: 0'
'worldPose: x: 0.390190,y: 0.038925,theta: 0.058275, gridPosition: x: 0, y: 0'
'worldPose: x: 0.395388,y: 0.039227,theta: 0.057814, gridPosition: x: 0, y: 0'
'worldPose: x: 0.400591,y: 0.039526,theta: 0.057321, gridPosition: x: 0, y: 0'
'worldPose: x: 0.405790,y: 0.039823,theta: 0.057164, gridPosition: x: 0, y: 0'
'worldPose: x: 0.410990,y: 0.040122,theta: 0.057423, gridPosition: x: 0, y: 0'
'worldPose: x: 0.416191,y: 0.040422,theta: 0.058022, gridPosition: x: 0, y: 0'
'worldPose: x: 0.421392,y: 0.040727,theta: 0.058722, gridPosition: x: 0, y: 0'
'worldPose: x: 0.426588,y: 0.041033,theta: 0.059088, gridPosition: x: 0, y: 0'
'worldPose: x: 0.431793,y: 0.041341,theta: 0.058792, gridPosition: x: 0, y: 0'
'worldPose: x: 0.436989,y: 0.041644,theta: 0.058089, gridPosition: x: 0, y: 0'
'worldPose: x: 0.442186,y: 0.041945,theta: 0.057613, gridPosition: x: 0, y: 0'
'worldPose: x: 0.447381,y: 0.042244,theta: 0.057568, gridPosition: x: 0, y: 0'
'worldPose: x: 0.452586,y: 0.042545,theta: 0.057785, gridPosition: x: 0, y: 0'
'worldPose: x: 0.457786,y: 0.042847,theta: 0.058191, gridPosition: x: 0, y: 0'
'worldPose: x: 0.462985,y: 0.043152,theta: 0.058651, gridPosition: x: 0, y: 0'
'worldPose: x: 0.468192,y: 0.043458,theta: 0.058686, gridPosition: x: 0, y: 0'
'worldPose: x: 0.473387,y: 0.043762,theta: 0.058263, gridPosition: x: 0, y: 0'
'worldPose: x: 0.478582,y: 0.044063,theta: 0.057745, gridPosition: x: 0, y: 0'
'worldPose: x: 0.483788,y: 0.044364,theta: 0.057572, gridPosition: x: 0, y: 0'
'worldPose: x: 0.488982,y: 0.044663,theta: 0.057733, gridPosition: x: 0, y: 0'
'worldPose: x: 0.494254,y: 0.044969,theta: 0.058037, gridPosition: x: 0, y: 0'
'worldPose: x: 0.499382,y: 0.045268,theta: 0.058323, gridPosition: x: 0, y: 0'
'worldPose: x: 0.504580,y: 0.045572,theta: 0.058641, gridPosition: x: 0, y: 0'
'worldPose: x: 0.509784,y: 0.045878,theta: 0.058854, gridPosition: x: 0, y: 0'
'worldPose: x: 0.514982,y: 0.046184,theta: 0.058732, gridPosition: x: 0, y: 0'
'worldPose: x: 0.520179,y: 0.046489,theta: 0.058361, gridPosition: x: 0, y: 0'
'worldPose: x: 0.525381,y: 0.046792,theta: 0.058135, gridPosition: x: 0, y: 0'
'worldPose: x: 0.530581,y: 0.047094,theta: 0.058234, gridPosition: x: 0, y: 0'
'worldPose: x: 0.535785,y: 0.047399,theta: 0.058593, gridPosition: x: 0, y: 0'
'worldPose: x: 0.540979,y: 0.047705,theta: 0.059044, gridPosition: x: 0, y: 0'
'worldPose: x: 0.546180,y: 0.048014,theta: 0.059460, gridPosition: x: 0, y: 0'
'worldPose: x: 0.551379,y: 0.048324,theta: 0.059504, gridPosition: x: 0, y: 0'
'worldPose: x: 0.556570,y: 0.048633,theta: 0.059190, gridPosition: x: 0, y: 0'
'worldPose: x: 0.561771,y: 0.048939,theta: 0.058681, gridPosition: x: 0, y: 0'
'worldPose: x: 0.566976,y: 0.049244,theta: 0.058228, gridPosition: x: 0, y: 0'
'worldPose: x: 0.572174,y: 0.049546,theta: 0.058032, gridPosition: x: 0, y: 0'
'worldPose: x: 0.577374,y: 0.049849,theta: 0.058335, gridPosition: x: 0, y: 0'
'worldPose: x: 0.582573,y: 0.050155,theta: 0.059034, gridPosition: x: 0, y: 0'
'worldPose: x: 0.587772,y: 0.050465,theta: 0.059791, gridPosition: x: 0, y: 0'
'worldPose: x: 0.592967,y: 0.050777,theta: 0.060099, gridPosition: x: 0, y: 0'
'worldPose: x: 0.598170,y: 0.051089,theta: 0.059823, gridPosition: x: 0, y: 0'
'worldPose: x: 0.603370,y: 0.051399,theta: 0.059269, gridPosition: x: 0, y: 0'
'worldPose: x: 0.608568,y: 0.051706,theta: 0.058794, gridPosition: x: 0, y: 0'
'worldPose: x: 0.613767,y: 0.052011,theta: 0.058567, gridPosition: x: 0, y: 0'
'worldPose: x: 0.618966,y: 0.052316,theta: 0.058688, gridPosition: x: 0, y: 0'
'worldPose: x: 0.624164,y: 0.052622,theta: 0.059180, gridPosition: x: 0, y: 0'
'worldPose: x: 0.629366,y: 0.052933,theta: 0.059923, gridPosition: x: 0, y: 0'
'worldPose: x: 0.634563,y: 0.053246,theta: 0.060486, gridPosition: x: 0, y: 0'
'worldPose: x: 0.639761,y: 0.053561,theta: 0.060341, gridPosition: x: 0, y: 0'
'worldPose: x: 0.644962,y: 0.053873,theta: 0.059812, gridPosition: x: 0, y: 0'
'worldPose: x: 0.650161,y: 0.054183,theta: 0.059438, gridPosition: x: 0, y: 0'
'worldPose: x: 0.655360,y: 0.054492,theta: 0.059396, gridPosition: x: 0, y: 0'
'worldPose: x: 0.660561,y: 0.054802,theta: 0.059464, gridPosition: x: 0, y: 0'
'worldPose: x: 0.666797,y: 0.055174,theta: 0.059714, gridPosition: x: 0, y: 0'
'worldPose: x: 0.672002,y: 0.055486,theta: 0.060248, gridPosition: x: 0, y: 0'
'worldPose: x: 0.677197,y: 0.055801,theta: 0.060731, gridPosition: x: 0, y: 0'
'worldPose: x: 0.683431,y: 0.056181,theta: 0.060644, gridPosition: x: 0, y: 0'
'worldPose: x: 0.688720,y: 0.056500,theta: 0.060076, gridPosition: x: 0, y: 0'
'worldPose: x: 0.694176,y: 0.056826,theta: 0.059630, gridPosition: x: 0, y: 0'
'worldPose: x: 0.699722,y: 0.057157,theta: 0.059474, gridPosition: x: 0, y: 0'
'worldPose: x: 0.704925,y: 0.057467,theta: 0.059427, gridPosition: x: 0, y: 0'
'worldPose: x: 0.710124,y: 0.057776,theta: 0.059609, gridPosition: x: 0, y: 0'
'worldPose: x: 0.715319,y: 0.058088,theta: 0.060140, gridPosition: x: 0, y: 0'
'worldPose: x: 0.720569,y: 0.058406,theta: 0.060645, gridPosition: x: 0, y: 0'
'worldPose: x: 0.725719,y: 0.058719,theta: 0.060673, gridPosition: x: 0, y: 0'
'worldPose: x: 0.730918,y: 0.059034,theta: 0.060254, gridPosition: x: 0, y: 0'
'worldPose: x: 0.736118,y: 0.059346,theta: 0.059837, gridPosition: x: 0, y: 0'
