'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.072712,y: 0.025907,theta: 0.000727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.074100,y: 0.025908,theta: 0.001030, gridPosition: x: 0, y: 0'
'worldPose: x: 0.075836,y: 0.025910,theta: 0.001112, gridPosition: x: 0, y: 0'
'worldPose: x: 0.077917,y: 0.025912,theta: 0.001136, gridPosition: x: 0, y: 0'
'worldPose: x: 0.079999,y: 0.025914,theta: 0.000912, gridPosition: x: 0, y: 0'
'worldPose: x: 0.082848,y: 0.025917,theta: 0.000647, gridPosition: x: 0, y: 0'
'worldPose: x: 0.086992,y: 0.025919,theta: 0.000618, gridPosition: x: 0, y: 0'
'worldPose: x: 0.090417,y: 0.025922,theta: 0.000769, gridPosition: x: 0, y: 0'
'worldPose: x: 0.094582,y: 0.025925,theta: 0.000959, gridPosition: x: 0, y: 0'
'worldPose: x: 0.098749,y: 0.025930,theta: 0.001124, gridPosition: x: 0, y: 0'
'worldPose: x: 0.103615,y: 0.025936,theta: 0.001287, gridPosition: x: 0, y: 0'
'worldPose: x: 0.107779,y: 0.025941,theta: 0.001391, gridPosition: x: 0, y: 0'
'worldPose: x: 0.112292,y: 0.025947,theta: 0.001288, gridPosition: x: 0, y: 0'
'worldPose: x: 0.116806,y: 0.025953,theta: 0.001090, gridPosition: x: 0, y: 0'
'worldPose: x: 0.122020,y: 0.025958,theta: 0.000894, gridPosition: x: 0, y: 0'
'worldPose: x: 0.127222,y: 0.025962,theta: 0.000971, gridPosition: x: 0, y: 0'
'worldPose: x: 0.132433,y: 0.025968,theta: 0.001271, gridPosition: x: 0, y: 0'
'worldPose: x: 0.137644,y: 0.025976,theta: 0.001522, gridPosition: x: 0, y: 0'
'worldPose: x: 0.142859,y: 0.025984,theta: 0.001548, gridPosition: x: 0, y: 0'
'worldPose: x: 0.148055,y: 0.025992,theta: 0.001405, gridPosition: x: 0, y: 0'
'worldPose: x: 0.153331,y: 0.025999,theta: 0.001308, gridPosition: x: 0, y: 0'
'worldPose: x: 0.157781,y: 0.026004,theta: 0.001273, gridPosition: x: 0, y: 0'
'worldPose: x: 0.162998,y: 0.026011,theta: 0.001344, gridPosition: x: 0, y: 0'
'worldPose: x: 0.168198,y: 0.026018,theta: 0.001420, gridPosition: x: 0, y: 0'
'worldPose: x: 0.173501,y: 0.026026,theta: 0.001491, gridPosition: x: 0, y: 0'
'worldPose: x: 0.178618,y: 0.026034,theta: 0.001422, gridPosition: x: 0, y: 0'
'worldPose: x: 0.183825,y: 0.026041,theta: 0.001273, gridPosition: x: 0, y: 0'
'worldPose: x: 0.189031,y: 0.026047,theta: 0.001338, gridPosition: x: 0, y: 0'
'worldPose: x: 0.194240,y: 0.026055,theta: 0.001649, gridPosition: x: 0, y: 0'
'worldPose: x: 0.199443,y: 0.026065,theta: 0.001867, gridPosition: x: 0, y: 0'
'worldPose: x: 0.204664,y: 0.026075,theta: 0.001890, gridPosition: x: 0, y: 0'
'worldPose: x: 0.209863,y: 0.026084,theta: 0.001749, gridPosition: x: 0, y: 0'
'worldPose: x: 0.215074,y: 0.026093,theta: 0.001659, gridPosition: x: 0, y: 0'
'worldPose: x: 0.220280,y: 0.026101,theta: 0.001604, gridPosition: x: 0, y: 0'
'worldPose: x: 0.225498,y: 0.026109,theta: 0.001405, gridPosition: x: 0, y: 0'
'worldPose: x: 0.230699,y: 0.026116,theta: 0.001319, gridPosition: x: 0, y: 0'
'worldPose: x: 0.235909,y: 0.026124,theta: 0.001589, gridPosition: x: 0, y: 0'
'worldPose: x: 0.241116,y: 0.026133,theta: 0.001848, gridPosition: x: 0, y: 0'
'worldPose: x: 0.246324,y: 0.026142,theta: 0.001871, gridPosition: x: 0, y: 0'
'worldPose: x: 0.251583,y: 0.026152,theta: 0.001785, gridPosition: x: 0, y: 0'
'worldPose: x: 0.256742,y: 0.026161,theta: 0.001628, gridPosition: x: 0, y: 0'
'worldPose: x: 0.261949,y: 0.026169,theta: 0.001659, gridPosition: x: 0, y: 0'
'worldPose: x: 0.267159,y: 0.026179,theta: 0.001900, gridPosition: x: 0, y: 0'
'worldPose: x: 0.272364,y: 0.026189,theta: 0.002124, gridPosition: x: 0, y: 0'
'worldPose: x: 0.278268,y: 0.026202,theta: 0.002229, gridPosition: x: 0, y: 0'
'worldPose: x: 0.283477,y: 0.026214,theta: 0.002204, gridPosition: x: 0, y: 0'
'worldPose: x: 0.288686,y: 0.026225,theta: 0.001987, gridPosition: x: 0, y: 0'
'worldPose: x: 0.293894,y: 0.026234,theta: 0.001724, gridPosition: x: 0, y: 0'
'worldPose: x: 0.299099,y: 0.026243,theta: 0.001861, gridPosition: x: 0, y: 0'
'worldPose: x: 0.304311,y: 0.026255,theta: 0.002314, gridPosition: x: 0, y: 0'
'worldPose: x: 0.309550,y: 0.026268,theta: 0.002727, gridPosition: x: 0, y: 0'
'worldPose: x: 0.314732,y: 0.026283,theta: 0.002819, gridPosition: x: 0, y: 0'
