'worldPose: x: 0.200089,y: 0.504736,theta: -0.173452, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173449, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173485, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173481, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173493, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173500, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173506, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173500, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173512, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173508, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173481, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173481, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173488, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173487, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173474, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173487, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173487, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173495, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173469, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173484, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173503, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173497, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173514, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173512, gridPosition: x: 0, y: 0'
'worldPose: x: 0.200089,y: 0.504736,theta: -0.173519, gridPosition: x: 0, y: 0'
