'worldPose: x: 0.081033,y: -0.021143,theta: 0.066263, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066261, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066264, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066247, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066225, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066233, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066223, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066220, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066224, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066230, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066226, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066224, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066217, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066188, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066176, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066174, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066165, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066159, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066156, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066169, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066146, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066147, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066154, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066167, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066174, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066181, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066182, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066177, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066179, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066191, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066209, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066208, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066218, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066224, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066226, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066233, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066234, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066315, gridPosition: x: 0, y: 0'
'worldPose: x: 0.081033,y: -0.021143,theta: 0.066281, gridPosition: x: 0, y: 0'
'worldPose: x: 0.082071,y: -0.021074,theta: 0.066160, gridPosition: x: 0, y: 0'
'worldPose: x: 0.083804,y: -0.020959,theta: 0.066016, gridPosition: x: 0, y: 0'
'worldPose: x: 0.085537,y: -0.020845,theta: 0.065836, gridPosition: x: 0, y: 0'
'worldPose: x: 0.087269,y: -0.020731,theta: 0.065752, gridPosition: x: 0, y: 0'
